situation	中古英语 situacioun ← 中古法语 situation ← 中世纪拉丁语 situatio，源自 situare（安置）← 拉丁语 situs（位置）	the set of conditions existing at a particular time	情况/局势	The situation improved after the talks.|She explained the whole situation calmly.	how things stand as placed at the moment – 当下各事所处的位置关系	情况：眼下的实际状态|局势：多方力量对比形成的态势			
size	中古英语 syse ← 古法语 sise，为 assise（定额）的截头形，源自 asseoir（坐定）← 拉丁语 assidēre，由 ad-（向）＋ sedēre（坐）构成	how large or small something is	大小/尺码	The two rooms are the same size.|What size shoes do you wear.	the fixed measure something falls under – 某物所归属的那个定量	大小：体积或规模的量度|尺码：衣物鞋帽的规格号			
skate	由荷兰语 schaats 反构而成 ← 中古荷兰语 schāetse ← 诺曼法语 escache（高跷、支架）← 法兰克语 *skakkjā	a boot with a blade for moving on ice	冰鞋/滑冰	She laced her skates by the rink.|They skate on the lake each winter.	a blade strapped on to glide over ice – 绑上去在冰面滑行的刃具	冰鞋：装有冰刀的鞋|滑冰：穿它在冰上行进			
skeleton	借自新拉丁语 sceleton ← 希腊语 skeletos（干枯的、干尸），源自 skellein（使干）	the framework of bones supporting a body	骨骼/框架	The museum displays a whale skeleton.|He sketched the skeleton of the plan.	the dried frame that holds a body up – 撑起身体的那副干硬架子	骨骼：全身骨头构成的支架|框架：事物最基本的支撑结构			
skeptical	由拉丁语 scepticus ＋ -al 构成	not easily convinced and inclined to question	怀疑的/存疑的	Doctors remain skeptical about the claim.|He gave me a skeptical look.	holding back belief until shown – 未见明证就先不信	怀疑的：倾向于不轻信|存疑的：暂且保留判断			
sketch	借自荷兰语 schets 或德语 Skizze ← 意大利语 schizzo ← 拉丁语 schedium ← 希腊语 schedios（临时做成的）	a rough drawing, or to draw roughly	素描/草图	He made a quick sketch of the bridge.|She sketched the outline in pencil.	something thrown down on the spot – 当场随手作出的东西	素描：以线条为主的写生画|草图：粗略勾出的示意图			noun / verb
ski	挪威语 ski ← 古诺尔斯语 skíð（木条、雪鞋）← 原始日耳曼语 *skīdą ← 原始印欧语 *skey-（切、劈）	a long narrow board fastened to a boot for moving on snow	滑雪板/雪橇	He waxed his skis before the run.|They ski every winter in Austria.	a long split board strapped under the foot – 绑在脚下的长条木板	滑雪板：踩在脚下滑行的长板|雪橇：在雪面滑行的器具			
skill	中古英语 skill ← 古诺尔斯语 skil（分辨、见识）← 原始日耳曼语 *skilją（区分）← 原始印欧语 *(s)kelH-（劈）	the ability to do something well through practice	技能/技巧	Reading maps is a useful skill.|The job needs real technical skill.	the power to tell fine differences and act on them – 能分辨细处并照做的本事	技能：经练习获得的做事能力|技巧：做事时具体的巧妙手法			
skilled	由 skill ＋ -ed 构成	having training and experience in a particular job	熟练的/有技术的	They hired three skilled workers.|Skilled labour costs more here.	trained enough to do the work well – 练到足以把活做好	熟练的：做得多因而做得顺|有技术的：受过专门训练的			
skillful	中古英语 skilful，由 skill ＋ -ful 构成	showing great ability in doing something	娴熟的/巧妙的	She is a skillful pianist.|That was a skillful piece of work.	full of skill in the doing – 做的时候满是本事	娴熟的：做得又快又稳|巧妙的：办法高明不落笨拙			
skim	中古英语 skemen，为 scumen 的变体 ← 古法语 escumer（去沫），源自 escume（沫）← 法兰克语 *skūm	to move lightly over a surface, or to read quickly	擦过/略读	A bird skimmed the water and rose.|He skimmed the report in minutes.	passing along the very top of something – 只沿着最表层过去	擦过：贴着表面轻轻掠行|略读：只看大意不细读			
skin	中古英语 skyn ← 古英语 scinn ← 古诺尔斯语 skinn（兽皮）← 原始日耳曼语 *skinþą	the outer covering of a person or animal	皮肤/外皮	Cold wind dried her skin.|Remove the skin before cooking.	the layer that splits off as a covering – 可剥下来的那层外覆	皮肤：人或动物体表的组织|外皮：果实或物体的外层			
skip	中古英语 skippen，出北日耳曼语支 ← 原始日耳曼语 *skupjaną	to move with light jumps, or to leave something out	跳过/略去	The child skipped along the path.|You may skip the second question.	passing over something with a light hop – 轻轻一跃从上面过去	跳过：越过而不落在中间|略去：有意不做或不提			
skirt	中古英语 skyrte ← 古诺尔斯语 skyrta ← 原始日耳曼语 *skurtijǭ（围裙、裙），源自 *skurtaz（短）；与 shirt 同源	a garment hanging from the waist	裙子/外围	She wore a long grey skirt.|The road skirts the old town.	the short cloth hung from the waist – 从腰上垂下的短幅布	裙子：自腰部垂下的下装|外围：绕过边缘的一带			
skull	中古英语 sculle，或出古诺尔斯语 skalli（秃头、颅骨）的方言形 ← 原始日耳曼语 *skallô	the bony framework of the head	颅骨/头盖骨	The blow cracked his skull.|Archaeologists found a broken skull.	the hard shell that encloses the brain – 包住脑的那层硬壳	颅骨：头部的骨架|头盖骨：颅顶那部分骨			
sky	中古英语 sky（天、云）← 古诺尔斯语 ský（云）← 原始日耳曼语 *skiwją ← 原始印欧语 *(s)kewH-（遮、掩）	the space above the earth seen from below	天空	The sky cleared before evening.|Stars filled the whole night sky.	the cover spread overhead – 铺在头顶上的那层遮盖				
skyscraper	由 sky ＋ scraper 复合而成，1880 年代起用于指美国城市的钢框高楼	a very tall building of many floors	摩天楼	The skyscraper has ninety floors.|Skyscrapers line the whole waterfront.	a building tall enough to scrape the sky – 高到像刮着天的楼				
slack	古英语 slæc（松）← 原始日耳曼语 *slakaz	loose rather than tight, or the loose part of a rope	松垮的/余量	The rope hung slack between the posts.|Pull in the slack before tying.	not drawn tight – 没有被拉紧的状态	松垮的：不紧不挺的|余量：多出来未用上的那部分			adjective / noun
slam	中古英语 *slammen（未见记载），出斯堪的纳维亚语源 ← 古诺尔斯语 slæma（挥击）	to shut something with great force and noise	猛关/砰地关上	He slammed the door and left.|She slammed the book onto the desk.	bringing something shut with force – 用力使之合上	猛关：用力关闭发出响声|砰地关上：伴随撞击声地闭合			
slap	中古英语 slappen，来源不明，或为拟声	to hit with the flat of the hand	掌击/拍打	She slapped her palm on the table.|He gave the horse a light slap.	striking with the open palm – 用张开的手掌打	掌击：用手掌用力打|拍打：反复轻打			noun / verb
slaughter	中古英语 slaughter ← 古诺尔斯语 *slahtr ← 原始日耳曼语 *slahtrą，源自 *slahaną（击打）	the killing of animals for food, or mass killing	宰杀/屠杀	The plant handles the slaughter of cattle.|Reports described the slaughter of civilians.	killing carried out on a large scale – 成批进行的杀戮	宰杀：为取肉而杀牲畜|屠杀：大规模杀害人命			
slave	中古英语 sclave ← 古法语 esclave ← 中世纪拉丁语 sclavus ← 晚期拉丁语 Sclavus（斯拉夫人）——中世纪斯拉夫人常被掠为奴	a person owned by another and forced to work	奴隶	The law freed every slave that year.|Slaves built much of the city.	a person held as another property – 被当作他人所属而役使的人				
sleep	古英语 slēpan ← 原始西日耳曼语 *slāpan ← 原始日耳曼语 *slēpaną	to rest with the eyes closed and the mind inactive	睡觉/睡眠	He slept for nearly ten hours.|Lack of sleep affects concentration.	resting with awareness switched off – 意识关闭下的休息	睡觉：进入睡眠这个动作|睡眠：睡着的那个状态			verb / noun
sleeve	中古英语 sleve ← 古英语 slīefe（袖）	the part of a garment covering the arm	袖子/套筒	He rolled up his sleeves and began.|The sleeve protects the cable.	the tube of cloth that the arm goes into – 手臂穿进去的那节布筒	袖子：衣服上包住手臂的部分|套筒：套在外面的筒状件			
slender	中古英语 slendre ← 古法语 esclendre（细、瘦）← 中古荷兰语 slinder（细长）← 原始日耳曼语 *slindraz（滑的）	thin in a graceful and attractive way	苗条的/纤细的	She had long slender fingers.|A slender tree stood by the gate.	thin in a way that looks graceful – 细而显得好看	苗条的：身形细而匀称|纤细的：形体细长而不粗			
slice	中古英语 sclise ← 古法语 esclice（劈下的一片），源自 esclicier（劈开）← 法兰克语 *slitjan	a thin flat piece cut from something larger	薄片/切片	He cut a slice of cold meat.|She sliced the tomatoes very thin.	a thin flat piece split off the whole – 从整体劈下的薄平一片	薄片：切下来的一薄块|切片：把整体切成片这个动作			noun / verb
slide	古英语 slīdan ← 原始西日耳曼语 *slīdan ← 原始日耳曼语 *slīdaną ← 原始印欧语 *sleydʰ-（滑）	to move smoothly along a surface	滑动/滑落	The drawer slides out very easily.|Prices slid further that quarter.	moving along without lifting off – 贴着表面不离开地移动	滑动：贴着面平顺移动|滑落：脱手或失稳后往下溜			verb / noun
slight	中古英语 slight（劣、轻微）← 古英语 sliht（平滑）← 原始日耳曼语 *slihtaz	very small in amount and hardly noticeable	轻微的/细小的	There was a slight delay this morning.|She felt a slight pain here.	so small as to barely register – 小到几乎察觉不到	轻微的：程度很低|细小的：尺寸或数量极小			
slim	借自荷兰语 slim（坏、狡），与低地德语 slim 同源；更上一层出原始日耳曼语 *slimbaz（歪斜）。词义由「歪、狡」转为「轻微」，在英语里再转为「细瘦」	narrow in build, or barely sufficient	纤瘦的/微小的	He stayed slim well into old age.|They had only a slim chance.	narrow enough to leave little to spare – 窄到几乎没有余裕	纤瘦的：身形窄而不胖|微小的：数量或可能性极低			
slip	中古英语 slippen，或出中古低地德语 slippen ← 原始西日耳曼语 *slippjan ← 原始日耳曼语 *slipjaną（滑行）	to lose your footing, or a small mistake	滑倒/失误	She slipped on the wet floor.|One slip cost them the match.	losing hold and sliding away – 抓不住而滑脱出去	滑倒：脚下打滑而倒下|失误：一时不慎出的小错			verb / noun
