W	themselves	noun	/ˈthemselves/			英语词条 themselves，现代词义按整体记	a thing or action related to themselves	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	themselves	The themselves changed the situation.|Researchers discussed the themselves carefully.	a clear scene connected with themselves – 与该词相连的清晰场景	themselves：从核心场景引出的常用义		
W	theoretical	noun	/ˈtheoretical/			英语词条 theoretical，现代词义按整体记	a thing or action related to theoretical	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theoretical	The theoretical changed the situation.|Researchers discussed the theoretical carefully.	a clear scene connected with theoretical – 与该词相连的清晰场景	theoretical：从核心场景引出的常用义		
W	theory	noun	/ˈtheory/			英语词条 theory，现代词义按整体记	a thing or action related to theory	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theory	The theory changed the situation.|Researchers discussed the theory carefully.	a clear scene connected with theory – 与该词相连的清晰场景	theory：从核心场景引出的常用义		
W	therapy	noun	/ˈtherapy/			英语词条 therapy，现代词义按整体记	a thing or action related to therapy	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	therapy	The therapy changed the situation.|Researchers discussed the therapy carefully.	a clear scene connected with therapy – 与该词相连的清晰场景	therapy：从核心场景引出的常用义		
W	thereafter	noun	/ˈthereafter/			英语词条 thereafter，现代词义按整体记	a thing or action related to thereafter	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thereafter	The thereafter changed the situation.|Researchers discussed the thereafter carefully.	a clear scene connected with thereafter – 与该词相连的清晰场景	thereafter：从核心场景引出的常用义		
W	thereby	noun	/ˈthereby/			英语词条 thereby，现代词义按整体记	a thing or action related to thereby	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thereby	The thereby changed the situation.|Researchers discussed the thereby carefully.	a clear scene connected with thereby – 与该词相连的清晰场景	thereby：从核心场景引出的常用义		
W	thermal	noun	/ˈthermal/			英语词条 thermal，现代词义按整体记	a thing or action related to thermal	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thermal	The thermal changed the situation.|Researchers discussed the thermal carefully.	a clear scene connected with thermal – 与该词相连的清晰场景	thermal：从核心场景引出的常用义		
W	thick	noun	/ˈthick/			英语词条 thick，现代词义按整体记	a thing or action related to thick	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thick	The thick changed the situation.|Researchers discussed the thick carefully.	a clear scene connected with thick – 与该词相连的清晰场景	thick：从核心场景引出的常用义		
W	thief	noun	/ˈthief/			英语词条 thief，现代词义按整体记	a thing or action related to thief	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thief	The thief changed the situation.|Researchers discussed the thief carefully.	a clear scene connected with thief – 与该词相连的清晰场景	thief：从核心场景引出的常用义		
W	thigh	noun	/ˈthigh/			英语词条 thigh，现代词义按整体记	a thing or action related to thigh	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thigh	The thigh changed the situation.|Researchers discussed the thigh carefully.	a clear scene connected with thigh – 与该词相连的清晰场景	thigh：从核心场景引出的常用义		
W	thin	noun	/ˈthin/			英语词条 thin，现代词义按整体记	a thing or action related to thin	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thin	The thin changed the situation.|Researchers discussed the thin carefully.	a clear scene connected with thin – 与该词相连的清晰场景	thin：从核心场景引出的常用义		
W	thing	noun	/ˈthing/			英语词条 thing，现代词义按整体记	a thing or action related to thing	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thing	The thing changed the situation.|Researchers discussed the thing carefully.	a clear scene connected with thing – 与该词相连的清晰场景	thing：从核心场景引出的常用义		
W	think	noun	/ˈthink/			英语词条 think，现代词义按整体记	a thing or action related to think	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	think	The think changed the situation.|Researchers discussed the think carefully.	a clear scene connected with think – 与该词相连的清晰场景	think：从核心场景引出的常用义		
W	thirst	noun	/ˈthirst/			英语词条 thirst，现代词义按整体记	a thing or action related to thirst	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thirst	The thirst changed the situation.|Researchers discussed the thirst carefully.	a clear scene connected with thirst – 与该词相连的清晰场景	thirst：从核心场景引出的常用义		
