W	medal	noun	/ˈmedl/			法语 médaille ← 意大利语 medaglia ← 通俗拉丁语 medalia（值半个第纳尔的小钱币）← 拉丁语 medialis（居中的、一半的）；「半枚钱币」这层与今义已断，推不出表彰之意	a flat piece of metal given as an award for an achievement	领奖台上他低头，一片圆铜片挂上脖子，红绸带压在衣领外	奖牌/勋章	She won a gold medal in the final race.|The old soldier wore three medals on his chest.	flat metal disc given as an award – 作为表彰发下来的金属圆片	奖牌：比赛里按名次发下的圆形金属片|勋章：军功或功绩上头授予的同类金属片	
W	membership	noun	/ˈmembəʃɪp/			member（← 古法语 membre ← 拉丁语 membrum 肢体）加 -ship（状态、身份）；拉丁 membrum 一支在词表内只有 member 与本词两个，不成词族	the state of belonging to a group, or the whole body of people who belong	门口的名册翻开，签上名字那一栏后面才有人递给他钥匙	会员资格/全体成员	Membership of the club costs fifty pounds a year.|The society has doubled its membership since last year.	name entered on a group roll – 名字记在一个团体名册上的身份	会员资格：名字入册后取得的那份身份|全体成员：同一份名册上所有人合起来说	
W	much	adjective / adverb	/mʌtʃ/			中古英语 muchel ← 古英语 mycel（大的、多的）← 原始日耳曼语 *mekilaz（大）	a large amount, or to a large degree	两只桶并排，一只见底，另一只满到水面贴着桶口晃	许多/很/非常	There is not much water left.|She likes him very much indeed.	large in amount or degree – 量上或程度上的大	许多：数量上的大|很：程度上的大，用来加强后面的词|非常：程度再进一步的说法	
W	neighborhood	noun	/ˈneɪbəhʊd/			neighbour ← 古英语 nēahgebūr（nēah 近 + gebūr 住户），加 -hood 表状态与范围	the area around a place, or the people living in it	走出楼门五分钟能到的几条街，面包店老板认得他的名字	街区/邻近地区/邻里	They live in a quiet neighborhood near the park.|The whole neighborhood came out to watch.	the area close around where one lives – 住处四周走得到的一带	街区：住处周围那几条街合成的一块|邻近地区：范围放宽的同一片|邻里：着眼于这一带住的人彼此往来	
W	nevertheless	adverb	/ˌnevəðəˈles/			中古英语 never the less 三词连写（never 决不 + the 那样 + less 更少），首部为古英语 nǣfre（决不）	in spite of what has just been said	雨下得正大，他把伞收起来，照原来的路口拐了进去	尽管如此/然而	The road was icy; nevertheless she drove on.|Nevertheless we enjoyed the whole trip.	none the less for that – 前面那些不足以改变后面	尽管如此：承认上文成立，下文照旧|然而：转折更轻，只标明两句方向相反	
W	nightmare	noun	/ˈnaɪtmeə/			中古英语 night（夜）+ mare（古英语 mære，压在睡者胸口的鬼魅），本义「夜里压胸的邪物」	a frightening dream, or a very unpleasant experience	凌晨三点他弹坐起来，背心湿透，手还抓着床沿不放	噩梦/可怕的经历	She woke from a nightmare at three.|The long delay turned into a nightmare.	a dream that presses down on the sleeper – 夜里压住人的那种梦	噩梦：睡着时把人惊醒的梦|可怕的经历：醒着遇上的、同样难熬的事	
W	nitrogen	noun	/ˈnaɪtrədʒən/			法语 nitrogène ← 希腊语 nitron（硝石）+ -genes（生成的），本义「生成硝石的元素」；nitron 一支在词表内只此一词	a colourless gas that makes up most of the air	一罐无色气体压进钢瓶，标签上写着占了空气五分之四	氮	Nitrogen makes up about four fifths of air.|Plants need nitrogen to grow well.	the gas that forms most of the air – 空气里占得最多的那种气体	氮：空气里占比最大、不助燃的那种元素	
W	often	adverb	/ˈɒfn/			中古英语 often ← 古英语 oft（屡屡、常常），后加 -en 以便连读	many times, at short intervals	那家店的门槛磨出一道浅坑，他一周踩上去四五回	常常/经常	He often walks to work in summer.|We do not often see her now.	happening many times over – 同一件事反复落在短间隔里	常常：次数多、间隔短|经常：同一意思，更偏书面与习惯性	
W	once	adverb / conjunction	/wʌns/			中古英语 ones，本是古英语 ān（一）的属格 ānes，义为「一次的」	on one occasion only, or as soon as	台阶上只留下一个鞋印，往前往后都是干的	一次/曾经/一旦	I have met him only once before.|Once you start, you cannot stop.	one single occasion – 只落下一回	一次：数上只有一回|曾经：那一回落在过去，如今不再|一旦：把那一回当条件，一发生就如何	
W	outer	adjective	/ˈaʊtə/			中古英语 outer，为古英语 ūtera（外面的），是 ūt（外）的比较级	on the outside, or further from the centre	剥开三层纸，最先撕掉的那层已经被雨水泡软	外面的/外层的	The outer wall needs painting again.|Remove the outer leaves before cooking.	lying further from the centre – 离中心更远的那一面	外面的：与里面相对的那一侧|外层的：一层层里靠外的那一层	
W	outward	adjective / adverb	/ˈaʊtwəd/			古英语 ūtweard（ūt 外 + -weard 朝着），本义「朝外的」	directed towards the outside, or seen on the surface only	船头对着开阔的水面，码头的灯一点点退到身后	向外的/表面的	The ship began its outward voyage.|His outward calm hid real worry.	facing away from the inside – 朝着离开里面的方向	向外的：方向上离开中心往外|表面的：只在外面这一层看得到，里头未必如此	
