headache	noun	/ˈhedeɪk/	古英语 hēafodece（hēafod 头 + ece 痛）← 原始日耳曼语 *haubidan（头）	a continuous pain in the head, or something that causes trouble and worry	太阳穴一阵阵发胀，看屏幕就想闭眼，手指按着眉骨不肯松	头痛/头疼/麻烦事	I have a bad headache this morning.|The new rules are a real headache for us.	pain sitting inside the head – 赖在颅腔里不肯走的那份疼	头痛：颅内一阵阵发紧发胀的那种疼|头疼：同一件事，口语里更常这么说|麻烦事：像这份疼一样甩不掉，一想起就发愁
heading	noun	/ˈhedɪŋ/	由 head（最上面那一端）加 -ing 构成 ← 古英语 hēafod ← 原始日耳曼语 *haubidan	a title printed at the top of a section of text, or the direction in which something moves	翻开报告，每一节最上面那行字都比正文大一号，加粗顶格排	标题/题目/航向	Each chapter has a clear heading.|The ship changed its heading at dawn.	the line that sits at the very top – 摆在最上面的那一行	标题：一段文字顶上那行，先告诉你下面讲什么|题目：同一样东西，作业和试卷上这么叫|航向：船机对准的那一头，也就是它最前面那个方向
headline	noun / verb	/ˈhedlaɪn/	由 head（最上面）与 line（行）复合，19 世纪起专指报纸版面顶上那一行	the title of a news story printed in large type at the top of a page	报纸摊在桌上，最上头一行黑体老远就看得见，底下的小字得凑近才认得出	头条/标题/大标题	The story made the headline in every paper.|Her arrest headlined the evening news.	the one line set biggest at the top – 顶上排得最大的那一行	头条：版面最上面、字最大的那一条新闻|标题：那一行字本身，用来概括整篇|大标题：强调它排得比周围任何字都大
heal	verb	/hiːl/	古英语 hǣlan（使完好、治好）← 原始日耳曼语 *hailijan ← *hailaz（完整无损的）	to make a wound or an illness better, or to become well again	膝盖上的血痂一天天变薄，最后自己掉下来，底下是一层新的粉皮	治愈/愈合/抚平	The cut healed in about a week.|Time healed the quarrel between them.	broken parts closing back into one – 破开的地方重新合成一整块	治愈：把病或伤治到恢复原样|愈合：伤口自己长回一起，不再豁着|抚平：心里裂开的那道口子也这么合上
health	noun	/helθ/	古英语 hǣlþ（完好、无损的状态）← 原始日耳曼语 *hailitha ← *hailaz（完整的）	the condition of a person's body or mind, especially whether it is working well	体检单上一列数字全落在括号里的范围内，医生看完只说了句下次再来	健康/健康状况/卫生	Smoking is bad for your health.|The hospital checks the health of every worker.	the state of being whole and unbroken – 整个人没缺没损的那种状态	健康：身上各处都好，没病没损|健康状况：具体好到什么程度，可以查可以说|卫生：为把这状态保住而做的那些事
healthy	adjective	/ˈhelθi/	由 health 加 -y 构成，16 世纪出现 ← 古英语 hǣlþ ← 原始日耳曼语 *hailaz（完整的）	in good condition and not ill, or good for the body	八十岁的人拎两袋菜上五楼，中间没停，进门说话也不喘	健康的/有益健康的/兴旺的	She looks healthy after the holiday.|Fruit is a healthy choice for lunch.	whole and running without fault – 完好，运转起来不出毛病	健康的：身上没病没损，运转正常|有益健康的：吃了用了能把人往这状态推|兴旺的：公司或经济也这么说，底子结实不出毛病
heap	noun / verb	/hiːp/	古英语 hēap（一大团、许多）← 原始日耳曼语 *haupaz	an untidy pile of things, or to pile things up	沙子从车斗倾下来，落成一个尖顶的锥形，边上不停往下滑	堆/一堆/堆积	There was a heap of clothes on the floor.|She heaped rice onto his plate.	things thrown together into a mound – 东西胡乱凑到一处，凸成小山形	堆：随手摞起来、顶上凸尖的那一团|一堆：拿它数量说事，多得没法细分|堆积：不断往上加，让它越凸越高
hear	verb	/hɪə/	古英语 hīeran（耳朵接到声音）← 原始日耳曼语 *hauzjan	to take in sounds through the ears, or to learn about something	半夜里楼下一声钥匙碰门，人立刻从被子里坐起来	听见/听说/听审	I heard a dog barking outside.|We heard that she had moved away.	sound arriving at the ear – 声音送到耳朵里	听见：声音进到耳朵，被接住|听说：消息像声音那样传到你这儿|听审：法庭上把各方的话正式接进来
hearing	noun	/ˈhɪərɪŋ/	由 hear 加 -ing 构成 ← 古英语 hīeran ← 原始日耳曼语 *hauzjan	the ability to take in sound, or a meeting where evidence is listened to	老人把耳朵凑到收音机跟前，还是又把旋钮拧大两格	听力/听觉/听证会	His hearing got worse after the accident.|The court set a hearing for next Monday.	taking sound in, and the session held for it – 把声音接进来，以及专为接话安排的场合	听力：耳朵接住声音的那份能力|听觉：五感里管声音的那一路|听证会：把各方的话当面接进来的那场会
heat	noun / verb	/hiːt/	古英语 hætu（烫、温度高）← 原始日耳曼语 *haitin- ← *haitaz（烫的）	the quality of being hot, or to make something hot	手掌离铁锅还有一寸就得缩回来，锅上那层空气在抖	热/热度/加热/激烈	The fire warmed the whole room.|Heat the milk before you add it.	what a hot thing sends out – 烫的东西往外送的那样东西	热：烫的东西散出来、一靠近就觉出的那样东西|热度：这样东西有多少，能量出个数|加热：往一件东西里送这个，让它变烫|激烈：比赛争到烫手的程度
