writing	中古英语 writing ← 古英语 wrīting，即 write ＋ 动名词后缀 -ing；write 一支 ← 原始日耳曼语 *wrītaną（刻、划）	the activity of putting words on paper, or words so put	写作/文字	Her writing has improved this term.|The writing on the label had faded.	the putting down of words, and what is put down – 把话落成字这件事，以及落下的那些字	写作：把文字写出来这项活动|文字：写下来的那些字迹或篇章			
wrong	中古英语 wrong ← 古英语 wrang（弯的、歪的）← 古诺尔斯语 rangr（歪、错）← 原始日耳曼语 *wrangaz（拧歪的）← 原始印欧语 *wer-（转、弯）；与 wring 同支	not correct, or not in accordance with what is right	错误的/不对的	You have the wrong number.|It was wrong of him to say that.	bent away from what is correct – 从正确的那条上歪开了	错误的：与事实或标准不符|不对的：做法上不该如此			
yard	中古英语 yerd ← 古英语 ġeard（围地、园）← 原始日耳曼语 *gardaz（围起来的地）← 原始印欧语 *gʰerdʰ-（围）；「码」是另一支，← 古英语 gierd（杆、量尺）	an enclosed area beside a building, or a unit of length	院子/码	The children play in the back yard.|The cloth is sold by the yard.	a piece of ground fenced off beside a building – 房子旁边圈起来的一块地	院子：屋旁围起来的那块空地|码：长度单位，原以一根量杆为准，是同形异源的另一支			
yawn	中古英语 yanen ← 古英语 ġinian（张口）← 原始日耳曼语 *ginōną；并与另一支 gānian 合流 ← 原始印欧语 *ǵʰeyh₁-（张口）	to open the mouth wide and breathe in, from tiredness	打哈欠	He yawned and rubbed his eyes.|She stifled a yawn during the talk.	opening the mouth wide to draw a long breath when tired – 累了便张大嘴长吸一口气				
year	中古英语 yeer ← 古英语 ġēar ← 原始日耳曼语 *jērą ← 原始印欧语 *yóh₁r̥（年、春）	the period of twelve months, or the time the earth takes to circle the sun	年/年度	She has lived here for ten years.|Sales rose in the second year.	the full round the earth makes about the sun – 地球绕日走完的那一整圈	年：十二个月的那段时间|年度：作为统计或行政单位的那一年			
yearly	中古英语 yeerly ← 古英语 ġēarlīċ，即 year ＋ 形容词或副词后缀 -ly	happening once every year	每年的	They hold a yearly inspection.|The rent is reviewed yearly.	coming round once in each turn of the year – 每一年里出现一次				
yell	中古英语 ȝellen ← 古英语 ġiellan（大叫）← 原始日耳曼语 *gellaną ← 原始印欧语 *gʰel-（喊、鸣）	to shout loudly, often in anger or excitement	叫喊/喊叫	He yelled across the pitch to her.|A yell came from the far room.	letting the voice out at full force – 把声音全放出来	叫喊：高声喊出|喊叫：同义，偏重连续地喊			
yellow	中古英语 yelow ← 古英语 ġeolu ← 原始日耳曼语 *gelwaz ← 原始印欧语 *ǵʰelh₃-（绿、黄）	of the colour of butter or ripe lemons	黄色的/黄色	She painted the door bright yellow.|Yellow leaves covered the lane.	the colour that lies between green and orange – 介于绿与橙之间的那种颜色	黄色的：形容颜色如柠檬如蜂蜜|黄色：那种颜色本身			
yes	中古英语 yes ← 古英语 ġīese（正是、当然），与 yea 同根	used to give a positive answer	是/同意	Yes, that is exactly right.|He gave a firm yes to the offer.	the word that grants what was asked – 用来应下所问的那个词	是：肯定对方所说|同意：把这份肯定用在意见或请求上			
yesterday	中古英语 yesterday ← 古英语 ġiestrandæġ，即 yester（昨）＋ day（日）	on the day before today	昨天	We met her only yesterday.|Yesterday was colder than today.	the day that came just before this one – 紧在这一天之前的那一天				
yield	中古英语 yielden（付、交）← 古英语 ġieldan（偿付）← 原始日耳曼语 *geldaną（付）← 原始印欧语 *gʰeldʰ-（付）	to produce something, or to stop resisting	产生/屈服/产量	The field yields two crops a year.|He refused to yield to pressure.	handing over what one has been holding – 把手里守着的交出去	产生：出产出成果，如同交出所得|屈服：不再抵抗，把立场交出去|产量：交出来的那个数量			
young	中古英语 yong ← 古英语 ġeong ← 原始日耳曼语 *jungaz ← 原始印欧语 *h₂yuh₁en-（年少）	having lived only a short time	年轻的/幼小的	She looked young for her age.|The young of the species stay hidden.	early in the span of a life – 处在一生里靠前的那一段	年轻的：人的岁数不大|幼小的：动植物还未长成			
youngster	由 young ＋ 后缀 -ster 构成，17 世纪初始见；young 一支 ← 古英语 ġeong ← 原始日耳曼语 *jungaz	a child or young person	年轻人/小孩	The youngsters ran ahead down the path.|He coaches youngsters at the club.	one still in the early part of life – 还处在人生前段的那个人	年轻人：岁数轻的那些人|小孩：其中更小的那些			
yours	中古英语 youres，14 世纪起见于记载，即 your ＋ -s，仿 his 的构式而成；取代了标准语中的 yourn	the one or ones belonging to you	你的/你们的	This coat is yours, not mine.|Our seats are here; yours are behind.	the thing that belongs to the person addressed – 属于所说话对象的那一份	你的：归你所有之物|你们的：归你们几人所有之物			
yourself	中古英语 yourself，即 your ＋ -self；self 一支 ← 古英语 self（自身）← 原始日耳曼语 *selbaz	used to refer back to the person being addressed	你自己	Did you cut your hair yourself?|Help yourself to more bread.	pointing back at the person just addressed – 回指刚被称呼的那个人				
youth	中古英语 youthe ← 古英语 ġeoguþ（年少之时）← 原始日耳曼语 *jugunþō，即 young ＋ 抽象名词后缀 -th	the period of being young, or young people as a group	青年/青春	He spent his youth at sea.|The scheme is aimed at local youth.	the early stretch of a life, and those in it – 一生里靠前的那一段，以及处在其中的人	青年：处在这个阶段的人|青春：这段时期本身			
zeal	中古英语 zele ← 古法语 zel ← 晚期拉丁语 zelus ← 希腊语 zelos（热忱、妒意）← 原始印欧语 *yeh₂-（追求）；与 jealous 同源	great energy in pursuit of a cause	热情/热忱	She threw herself into the work with zeal.|His reforming zeal never faded.	energy poured into a cause one believes in – 为自己认定的事一股劲使出去	热情：对某事怀着强烈的心力|热忱：同义，偏书面，多用于正式场合			
zebra	1600 年前后借自意大利语 zebra ← 葡萄牙语 zebra ← 古葡萄牙语 azebra（野驴）← 通俗拉丁语 *eciferus ← 拉丁语 equiferus（野马），由 equus（马）＋ ferus（野的）构成	an African animal like a horse, with black and white stripes	斑马	A herd of zebra crossed the plain.|No two zebras share the same pattern.	a horse-like animal marked all over with black and white bands – 形似马、通体黑白相间成条带的兽				
