partly	partly because clause —— 部分因为……|partly due to sth —— 部分由于……
directly	directly related to sth —— 与某事直接相关|go directly to sth —— 直接去某处
literally	literally mean sth —— 字面意思是某事|take sth literally —— 按字面理解某事
increasingly	increasingly important —— 越来越重要|increasingly difficult —— 越来越困难
incidentally	incidentally, S + V —— 顺便说一句|incidentally mentioned —— 顺带提到
ago	three years ago —— 三年前|long ago —— 很久以前
alike	look alike —— 看起来相像|treat sb alike —— 同等对待某人
alone	leave sb alone —— 不打扰某人|alone in sth —— 独自处于某事中
aloud	read aloud —— 大声朗读|say sth aloud —— 把某事说出来
already	already done —— 已经做完|have already done sth —— 已经做过某事
anywhere	anywhere else —— 其他任何地方|go anywhere —— 去任何地方
ashore	come ashore —— 上岸|wash ashore —— 冲上岸
back	back and forth —— 来回地|go back to sth —— 回到某事
best	do one's best —— 尽最大努力|at best —— 充其量
daily	daily life —— 日常生活|on a daily basis —— 每天
early	early in the morning —— 一大早|at an early stage —— 在早期阶段
either	either A or B —— A 或 B|either of sth —— 两者之一
enough	enough to do sth —— 足够做某事|more than enough —— 远远足够
even	even if clause —— 即使|even though clause —— 尽管
far	far from sth —— 远非某事|so far —— 到目前为止
fast	fast asleep —— 熟睡|hold fast —— 紧紧抓住
foremost	first and foremost —— 首先也是最重要的
forth	back and forth —— 来回地|set forth sth —— 阐述某事
gently	gently touch sth —— 轻轻触碰某物|handle sth gently —— 轻柔地处理某物
hard	hard to do sth —— 难以做某事|work hard —— 努力工作
high	highly likely —— 很可能|high above sth —— 高高在某物上方
home	go home —— 回家|at home —— 在家
inland	move inland —— 向内陆移动|inland from sth —— 在某物的内陆
least	at least —— 至少|not least —— 尤其
less	less than sth —— 少于某物|no less than sth —— 不少于某物
low	low on sth —— 某物不足|lie low —— 暂时隐蔽
maybe	maybe later —— 也许稍后|maybe because clause —— 也许因为……
merely	merely because clause —— 仅仅因为……|merely a/an + noun —— 只不过是……
near	near to sth —— 接近某物|nowhere near sth —— 远未达到某物
nearby	nearby shops —— 附近的商店|live nearby —— 住在附近
never	never before —— 从未有过|never again —— 再也不
often	often used —— 经常使用|more often than not —— 通常
outward	outward appearance —— 外表|move outward —— 向外移动
overnight	overnight stay —— 过夜停留|change overnight —— 一夜之间改变
quick	quick to do sth —— 很快做某事|quick and easy —— 快速而简单
right	right away —— 立即|right to do sth —— 有权做某事
wrong	go wrong —— 出错|wrong with sth —— 某物出了问题
yearly	yearly report —— 年度报告|once yearly —— 每年一次
yes	say yes to sth —— 同意某事|yes or no —— 是或不是
yesterday	yesterday morning —— 昨天早晨|the day before yesterday —— 前天
