scan	中古英语 scanne（划分诗行音节）← 晚期拉丁语 scandere（吟诵诗律）← 古典拉丁语 scandere（攀升）	to look over something quickly or systematically	细看/扫描	She scanned the list for her name.|The machine scans each page twice.	passing the eye steadily over a whole surface – 目光顺着整个面匀速过一遍	细看：快速通览以找出所需|扫描：用设备逐行读取影像			verb / noun
scandal	中古法语 scandale ← 教会拉丁语 scandalum（使人跌倒之物）← 希腊语 skandalon（绊索、绊倒人的因由）	an action that shocks people and damages a reputation	丑闻/公愤	The scandal forced the minister out.|News of the scandal spread overnight.	something laid down to trip people up – 摆在那里让人跌倒的东西	丑闻：败坏声誉的可耻事件|公愤：由此引起的众人愤慨			
scar	中古英语 scar，由古法语 escare（疮疤，← 晚期拉丁语 eschara ← 希腊语 eschara 烧伤留痕）与中古英语 skar（切口，← 古诺尔斯语 skarð 缺口）合流	a mark left on the skin after a wound has healed	伤疤/疤痕	A thin scar ran along his arm.|The burn left a lasting scar.	the mark a healed wound leaves behind – 伤愈后留在原处的痕	伤疤：创口愈合后的隆起痕迹|疤痕：泛指留下的痕迹			
scarce	中古英语 scars ← 古法语 escars（吝啬、稀少）← 中世纪拉丁语 scarsus（减少的），更早词源未定	not enough to meet the demand	稀少的/不足的	Fresh water was scarce that summer.|Good teachers are scarce here.	too little for what is wanted – 相对所需而言太少	稀少的：数量本来就少|不足的：不够满足需要			
scare	中古英语 skerren（使惊）← 古诺尔斯语 skirra（惊走、避开）← 原始日耳曼语 *skirzijaną	to make someone suddenly afraid, or such a fright	惊吓/使害怕	The loud bang scared the horses.|She got a bad scare that night.	startling someone into shrinking back – 突然一惊使人往后缩	惊吓：猛然使人受惊|使害怕：让人心生恐惧			verb / noun
scarf	或出诺曼法语 escarpe（挂颈的袋囊），比较古法语 escharpe	a long piece of cloth worn around the neck	围巾	She wrapped a wool scarf around her neck.|He lost his scarf on the bus.	a long cloth hung about the neck – 挂在颈上的长条织物				
scatter	中古英语 scateren，或为 shatter 的变体（拟声起源）	to throw or send things in different directions	撒开/驱散	Wind scattered the papers across the yard.|Police scattered the small crowd.	sending things off in every direction – 把东西朝各个方向送出去	撒开：把东西分散抛出|驱散：使聚集的人群散去			
scene	中古英语 scene ← 中古法语 scene ← 拉丁语 scaena ← 希腊语 skēnē（舞台、帷幕）	a part of a play or film, or a view before you	场景/一幕	The opening scene lasts ten minutes.|A peaceful scene met their eyes.	what is set up before the viewer – 在观看者面前布置出来的一片	场景：眼前呈现的一片情景|一幕：戏剧或影片的一个段落			
scenery	早期作 scenary，由 scene ＋ -ary 构成，后改作 -ery；scene ← 拉丁语 scaena ← 希腊语 skēnē（舞台）	the natural features of an area seen as a whole	风景/布景	The train passes through fine scenery.|Stagehands changed the scenery quickly.	the whole setting spread out to view – 铺展在眼前的整片布置	风景：一地自然景物的总体|布景：舞台上搭出的场面			
scent	中古英语 sent ← 古法语 sentir（觉察、闻）← 拉丁语 sentīre（感觉）；17 世纪加入不发音的 c	a pleasant smell, or the trail of smell an animal leaves	香气/嗅迹	The scent of lilies filled the hall.|Hounds followed the scent for miles.	what the sense of smell picks up – 嗅觉所捕到的那一缕	香气：令人愉快的气息|嗅迹：动物留下可循的气息踪迹			
schedule	中古英语 cedule ← 中古法语 cedule ← 晚期拉丁语 schedula（纸莎草小条），为 scheda 的指小形 ← 希腊语 schedē（纸莎草叶）	a plan listing times for events, or to plan such times	日程/排定	The train runs behind schedule today.|They scheduled the meeting for Friday.	items written on a slip in fixed order – 按次序写在条子上的各项	日程：按时刻排开的活动清单|排定：把时间安排下来			noun / verb
scholarship	由 scholar ＋ -ship 构成；scholar ← 晚期拉丁语 scholāris ← 希腊语 scholē（闲暇、讲学）	money given to support study, or serious academic work	奖学金/学问	She won a scholarship to study abroad.|His scholarship on this period is respected.	the standing of one devoted to study – 治学者的那份身份与造诣	奖学金：资助学习的款项|学问：钻研所积的学术功力			
scissors	中古英语 sisours ← 古法语 cisoirs ← 晚期拉丁语 cīsōria，为 cīsōrium（切具）的复数；今日拼法受中世纪拉丁语 scissor（裁缝）影响	a tool with two blades joined for cutting	剪刀	She cut the ribbon with scissors.|These scissors need sharpening badly.	two blades pivoted to cut between them – 两刃绕轴相错、从中切开				
scold	中古英语 scold（名词，12–13 世纪见于记载），多认为出古诺尔斯语 skald（吟诗人），因吟诗人常作讥刺之诗	to speak angrily to someone about a fault	责骂/训斥	She scolded the boy for lying.|He was scolded in front of everyone.	speaking sharply at someone over a fault – 因过失而厉声说人	责骂：因过错而出声指责|训斥：以严厉言辞责备			verb
scope	意大利语 scopo（目的）← 拉丁语 scopus（靶）← 希腊语 skopos，源自 skeptesthai（察看）	the range of what something deals with or allows	范围/余地	This lies outside the scope of the report.|There is scope for improvement here.	how far the aim reaches – 所瞄及的那一段距离	范围：所涉及的界限|余地：可供施展的空间			
score	古英语 scoru（刻痕、记数）← 古诺尔斯语 skor ← 原始日耳曼语 *skurō（刻口）；「二十」一义出自赶牲人每过二十头刻一道	the number of points won, or a written piece of music	得分/乐谱	The final score was three to one.|She studied the score before rehearsal.	a notch cut to keep count – 为记数而刻下的一道	得分：比赛中记下的分数|乐谱：写出各声部的谱面			noun / verb
scorn	中古英语 scornen ← 古法语 escharnir ← 俗拉丁语 *escarnire ← 原始西日耳曼语 *skarnijan	to treat someone as worthless, or such contempt	轻蔑/鄙视	He scorned their offer of help.|She looked at him with scorn.	treating another as beneath notice – 把人当作不值一顾	轻蔑：看不起而不予理会|鄙视：明确表示看不上			
scout	中古英语 scout ← 古法语 escoute（探听），为 escouter（听）的动名词 ← 拉丁语 auscultāre（倾听）	a person sent ahead to gather information	侦察兵/探查	A scout reported movement on the ridge.|They scouted the area before dawn.	one sent ahead to listen and look – 先行前去听看的人	侦察兵：受派前去探明情况的人|探查：前去查明地形或情况			
scramble	来源未定，或出方言 scrammel（用手扒拢），或为 scrabble 的鼻音化变体	to move or compete in a hurried disorderly way	争抢/攀爬	Children scrambled for the fallen sweets.|We scrambled up the steep bank.	clawing forward in haste and disorder – 手脚并用、乱中往前抓挠	争抢：一拥而上互相夺取|攀爬：手脚并用地往上爬			
scrap	中古英语 scrappe ← 古诺尔斯语 skrap，源自 skrapa（刮、擦）← 原始日耳曼语 *skrapōną	a small piece left over, or waste material	碎片/废料	She wrote the number on a scrap.|The yard buys metal scrap.	a small bit scraped off the whole – 从整体上刮下的一小块	碎片：零碎的一小块|废料：加工后剩下的无用材料			
scrape	中古英语 scrapen ← 古诺尔斯语 skrapa 与古英语 scrapian，同出原始日耳曼语 *skrapōną	to rub a hard edge across a surface, or a graze	刮/擦伤	He scraped mud off his boots.|She got a scrape on her knee.	dragging a hard edge across a surface – 用硬边在面上拖过	刮：用硬边把表面的东西除掉|擦伤：皮肤被擦掉一层的伤			
scratch	中古英语 scracchen，来源未定；或为 scratten 与 cracchen 两词混成	to rub or cut a surface with something sharp	抓挠/划痕	The cat scratched the wooden door.|A deep scratch marked the paint.	drawing something sharp across a surface – 用尖硬物在面上划过	抓挠：用指甲或爪反复刮|划痕：被划出的细长痕迹			
scream	中古英语 scremen，与中古荷兰语 scremen（喊叫）及古诺尔斯语 skræma（惊吓）同源或借自其一	to give a loud high cry, or such a cry	尖叫/呼喊	She screamed when the light went out.|A scream came from the next room.	a cry forced out high and loud – 高而尖地冲出来的一声	尖叫：又高又尖地叫出来|呼喊：放声叫喊			verb / noun
screen	中古英语 scren ← 古法语 escren ← 中古荷兰语 scherm（屏、遮挡）← 原始日耳曼语 *skirmiz	a flat surface for showing images, or something that shields	屏幕/遮挡	The screen went dark for a moment.|Trees screen the house from the road.	a flat panel set up to shield or show – 立起来遮挡或显示的一面	屏幕：显示影像的平面|遮挡：挡住视线或风雨			
screw	中古英语 scrue ← 古法语 escroue（螺母、圆孔）← 拉丁语 scrōfa（母猪），因形似而得名；另受古荷兰语 *scrūva（螺）影响	a metal pin with a spiral ridge, or to fasten with one	螺钉/旋紧	He tightened the last screw firmly.|Screw the lid on before shaking.	a pin with a spiral ridge that bites in – 带螺旋棱、能咬进材料的钉	螺钉：带螺纹的紧固件|旋紧：旋转使之固定			noun / verb
scrutiny	中古英语 scrutiny ← 中世纪拉丁语 scrūtinium（搜查），源自俗拉丁语 scrūtārī（彻查）← 晚期拉丁语 scrūta（破烂杂物）	careful and detailed examination	细查/审视	The accounts came under close scrutiny.|His claim did not survive scrutiny.	raking through something down to the scraps – 连碎屑都翻遍地查	细查：逐项详细查看|审视：仔细察看并评断			
sculpture	中古英语 sculpture ← 古法语 sculpture ← 拉丁语 sculptūra，源自 sculpere（凿刻）	a work of art shaped from stone, metal or wood	雕塑/雕刻品	A bronze sculpture stood in the square.|She studies modern sculpture at college.	a form cut out of solid material – 从实料上凿出来的形体	雕塑：凿塑而成的立体作品|雕刻品：经雕凿制成的物件			
sea	古英语 sǣ ← 原始西日耳曼语 *saiwi ← 原始日耳曼语 *saiwiz	the large body of salt water covering much of the earth	海/海洋	They sailed east across the open sea.|The sea was calm that morning.	the great salt water stretching to the horizon – 一直铺到天边的大片咸水	海：与陆地相接的大片咸水|海洋：全球咸水水体的总称			
seal	「印章」一支 ← 中古英语 sele ← 古法语 seel ← 拉丁语 sigillum（小印，signum 的指小形）；同形的「海豹」另出古英语 seolh	a device stamped to authenticate, or to close something tightly	图章/密封	The letter bore the royal seal.|Seal the jar before storing it.	a mark pressed on to close and certify – 压上去以封合并作凭证的印	图章：压出印记的器具或印记本身|密封：封闭严实不使漏出			noun / verb
seam	古英语 sēam（缝）← 原始西日耳曼语 *saum ← 原始日耳曼语 *saumaz（缝起来的东西）	the line where two pieces of cloth are sewn together	缝合线/接合处	The seam split along her sleeve.|Check every seam for weak stitching.	the line where two pieces are joined – 两片相接的那一条线	缝合线：针线缝出的那道线|接合处：两部分连起来的地方			
