W	therefore	adverb	/ˈðeəfɔː/			中古英语 therfore：there（古英语 þǣr 那里 ← 原始日耳曼语 *thar-）+ fore（古英语 for 为了、因为），字面「为那个缘故」	used to introduce a statement that follows logically from what was just said	前面几行条件一条条摆齐，笔尖落到最后一行，只剩这一个数能填进去	因此/所以	The road was closed; we therefore turned back.|She was late and therefore missed the opening.	what came before leaves only this one outcome – 前面那些摆定了，后面只能是这一个	因此：前面的条件已经把结论逼到只剩一个|所以：把上文当依据，顺着说出结果		Therefore, + 主句 —— 置于句首并加逗号，独立引出结论，书面正式|be/have + therefore + 补语 —— 插在助动词之后，是最常见的句中位置|and therefore + adj/doing —— 接在同一句内不另起句，比 so 正式
W	thus	adverb	/ðʌs/			古英语 þus（如此、这样），与指示词 this 同一支，更早词源不明	in this way, or as a result of this	他把绳头绕两圈再一拉，示范给旁边的人看，说照这个手法来	这样/如此/因此	Hold the rope thus and pull it tight.|The talks failed, thus ending the deal.	in this very manner, and so what follows – 就照这个法子，于是后面跟着来	这样：手上就是这个做法，照它来|如此：把前面描述的样子整个指回去|因此：这个做法带出后面的结果		thus far —— 到目前为止，固定搭配，等于 so far 但更正式|thus + doing —— 用现在分词接结果，分词的主语与主句一致|and thus + 分句 —— 接在分号或逗号后引出推论，学术写作常见
W	otherwise	adverb	/ˈʌðəwaɪz/			古英语 on ōþre wīsan（以另一种方式）：ōþer（另一个）+ wīse（方式）← 原始日耳曼语 *anthera- 与 *wīsō	if not, or in a different way	她把伞塞进他包里，说记着带上，不带的话回来时半身都得淋透	否则/不然/在其他方面	Write it down, otherwise you will forget.|The room was small but otherwise perfectly comfortable.	the other branch of the road, the one you do not want – 岔路的另一条，那条不想走的	否则：不照这条做，就落到另一条上|不然：把那条不想要的结果摆出来警示|在其他方面：把已说的那一点撇开，剩下的另作一说		祈使句/陈述句 + otherwise + 结果 —— 前半是条件，后半是不照做的后果|otherwise + adj —— 在其他方面如何，把刚提的那一点排除在外|otherwise known as —— 又名、也叫作，用于引出别称
W	whereas	conjunction	/weərˈæz/			中古英语 where（古英语 hwǣr 何处 ← 原始日耳曼语 *hwar-）+ as（古英语 ealswā 同样地 的弱化形），本表「在……之处」，十四世纪转为表对比	used to compare two facts that differ, or to open a formal preamble	两张成绩单并排摊在桌上，一张门门九十以上，另一张门门刚过及格线	然而/而/鉴于	He likes crowds, whereas she prefers quiet.|Whereas the north had rain, the south stayed dry.	two facts laid side by side, pointing opposite ways – 两件事并排摆着，方向正相反	然而：两句意思相反，用它把后一句接上|而：只标明两边不同，语气比转折轻|鉴于：合同、判决书开头引出既定事实的那一句		分句 + whereas + 分句 —— 两个分句必须同句，不能像 however 那样独立成句|Whereas + 分句, + 主句 —— 置于句首时对比项先说，主句用逗号隔开|Whereas ...（法律文书） —— 鉴于，用于合同与决议的前言条款
W	besides	preposition / adverb	/bɪˈsaɪdz/			beside（古英语 be sīdan 在旁边：be 在 + sīde 侧边 ← 原始日耳曼语 *sīdō）加副词属格 -s	in addition to something already mentioned, or as a further point	账单上的项他都点过一遍了，又从口袋里翻出一张小票压上去	除…之外/而且/此外	Besides English, she speaks two other languages.|It is late, and besides, I am tired.	one more thing set on top of what is already counted – 在已数过的那些之上再压一件	除…之外：把它连同后面数进去，不是排除|而且：给前面的理由再叠一条|此外：把新添的那件另起一句说		besides + n/doing —— 后接名词或动名词，表把它一并算上，与 except（排除）方向相反|Besides, + 主句 —— 句首加逗号，独立追加一条理由，口语常见|nothing/no one besides —— 此时才等于 except，除它以外没有别的
W	furthermore	adverb	/ˌfɜːðəˈmɔː/			中古英语 further more 两词连写：further ← 古英语 furþor（更向前）← 原始日耳曼语 *furþera-，more ← 古英语 māra（更多）	used to add a further and usually stronger point to what has been said	论证写满一页，他翻到背面接着往下推，落笔比前面几条更重	此外/而且/进一步说	The plan is costly. Furthermore, it is slow.|The claim was false and, furthermore, easy to disprove.	pushing the argument one stretch further on – 把论证再往前推一段	此外：把新的一条摆到已有那些旁边|而且：语气往上加，后一条比前一条重|进一步说：顺着原来的方向再深一层		Furthermore, + 主句 —— 句首加逗号，正式书面语中最常见的位置|分号/句号 + Furthermore —— 承接上一句独立成句，不与前句共用主语|..., furthermore, ... —— 插在句中用双逗号隔开，语气稍缓
W	rather	adverb	/ˈrɑːðə/			古英语 hraþor（更快、更乐意），是 hraþe（快、乐意）的比较级 ← 原始日耳曼语 *hraþaz（迅速）	to a noticeable degree, or in preference to something else	天平往一边压下去一格，看得出偏了，可也没到底	相当/有点/宁愿/更确切地说	It was rather cold for a swim.|I would rather walk than wait here.	the balance tipped one notch to this side – 秤往这一边压下去一格	相当：那一格压得明显，程度到中上|有点：只压下去一点，够察觉|宁愿：两边比过，取压下去的这边|更确切地说：把刚说的那句往准的方向拨一下		rather than doing sth —— 而不是做某事，两者取前舍后|would rather do sth —— 宁愿做某事，表主观取舍，后接动词原形|rather + adj —— 有点、相当，强度 somewhat < fairly < quite ≈ rather < very；修饰不合心意的性质时带惊讶或不满|or rather —— 更确切地说，用来修正自己刚说的话
W	quite	adverb	/kwaɪt/			古法语 quite（了结的、清账的）← 拉丁语 quietus（安定、已清偿），十四世纪入英语，先作形容词后转副词	completely, or to a fairly high degree	账本上最后一笔划掉，合上册子，桌上再没有要办的单据	完全/确实/相当	You are quite right about the dates.|The film was quite good, not brilliant.	settled through to the end, nothing left over – 一路结到底，没有余下的	完全：结到底，没有留下一点|确实：把对方的话整个接住，不打折扣|相当：日常用得磨薄了，只剩程度偏高一档		quite a/an + n —— 冠词放在 quite 之后，表相当的一个、颇为可观的一个|quite + 不可分级 adj —— 如 quite right / quite impossible，此时是完全而非部分|quite + 可分级 adj —— 如 quite good，英式里弱于 very，与 rather 同档而语气中性、不含褒贬|not quite —— 还差一点、不完全，比 not very 委婉
W	somewhat	adverb	/ˈsʌmwɒt/			中古英语名词短语 sum what（某个分量、某些东西）转作副词：sum ← 古英语 sum（某个），what ← 古英语 hwæt ← 原始日耳曼语 *hwat	to some small degree but not much	量杯里的水刚过第一道刻度线，离满还差着大半截	有点/稍微/几分	The rules have changed somewhat since then.|He looked somewhat tired after the flight.	past the first mark on the cup, far from full – 过了杯上第一道线，离满还远	有点：刻度上确实动了，动得不多|稍微：只走了最小的那一格|几分：说个大概分量，不给准数		somewhat + adj/adv —— 有点、略微，四词里最弱且语域最书面，弱于 fairly 与 rather|somewhat of a + n —— 算得上是个……，用来把断言说软|somewhat + 比较级 —— 如 somewhat better，稍微好一些，给出微小差量
W	scarcely	adverb	/ˈskeəsli/			scarce（古法语 escars 稀少 ← 通俗拉丁语 excarpsus 被择走的）加副词后缀 -ly	almost not at all, or only a moment before something else happened	果园早被人摘过一轮，篮底就剩一只，够不上分给两个人	几乎不/几乎没有/刚…就	There was scarcely any bread left.|He had scarcely sat down when the bell rang.	picked over until what is left hardly counts – 摘剩到剩下的这点算不上有	几乎不：那点程度低到可以不算|几乎没有：数量上剩到不够用|刚…就：前一件还没落定，后一件已经来了		scarcely any/ever —— 几乎没有、几乎从不，本身即否定，句中不再加 not；与 hardly 同档而更书面，barely 则偏重勉强够到|scarcely ... when/before —— 刚……就……，前半用过去完成时|Scarcely had + 主语 + done —— 句首倒装，语气正式，比 hardly 更书面|can scarcely + 动词原形 —— 简直无法，如 can scarcely believe
