W	fasten	verb	/ˈfɑːsn/			古英语 fæstnian（使牢固、扣住）← fæst（牢固的），与 fast（紧、牢）同支	to close or join two things firmly together	安全带插进卡口，听见一声脆响，手一拉没有松动	扣紧/系上/固定	Please fasten your seat belt now.|She fastened the gate behind her.	make two parts hold each other – 让两处彼此咬住不再分开	扣紧：把两处扣到一起并使之不松|系上：用带子或绳把东西连住|固定：让某物不再移动或脱落	
W	fellowship	noun	/ˈfeləʊʃɪp/			中古英语 felawschipe，由 felawe（同伙）← 古诺斯语 félagi（合出财物的人，félag 指凑起来的钱物）加 -ship 构成	a friendly feeling among people who share an activity or belief	几个人凑钱盘下一间铺子，晚上关了门坐在后屋分账	伙伴关系/团体/奖学金	The club is built on fellowship and trust.|He won a fellowship to study abroad.	money laid down together and the bond that follows – 各自拿出一份凑在一起结成的关系	伙伴关系：几个人共担一件事结成的情分|团体：这样结起来的一群人|奖学金：学会拿钱供人做学问，人也就入了那个圈子	
W	flat	adjective / noun	/flæt/			古诺斯语 flatr（平的）；住处一义另出古英语 flet（地面、住所），后与本词拼写合流	having a level surface without bumps or slopes	一张桌面用手掌抹过去，从这头到那头没有一处凸起	平坦的/公寓/没气的	The land is flat for miles around.|They rent a flat near the station.	a surface with nothing standing up on it – 面上没有起伏的一整片	平坦的：面上不起不伏，从一头看得到另一头|公寓：整层楼分成一户一户，各占一个平面|没气的：轮胎瘪下去贴住地面，也成了一片平的	
W	flight	noun	/flaɪt/			古英语 flyht（飞行）← fleogan（飞）；逃离一义出同源的 fleon（逃走），中古英语时两支拼写合一	the act of flying, or a journey made by air	舷窗外云层压在下面，机翼稳稳不动，广播报了落地时间	飞行/航班/逃跑	Our flight leaves at seven tomorrow morning.|The birds began their long flight south.	moving off the ground and away – 离地而去的那一趟	飞行：离开地面在空中行进这件事|航班：按班次排定的一趟空中行程|逃跑：同样是急着离开，只是脚不离地	
W	flock	noun / verb	/flɒk/			古英语 flocc（一群人、一伙），古诺斯语 flokkr 同源；与拉丁语 floccus（一撮绒毛）来的那个 flock 是两个词	a group of birds or sheep keeping close together	黄昏电线上落满麻雀，一惊全体腾空，转个方向又落回来	群/成群聚集	A flock of geese crossed the field.|Tourists flock here every summer.	many small ones moving as one body – 许多小的凑成一团一起动	群：鸟或羊挨在一起行动的那一伙|成群聚集：人像那样一拨拨涌到同一处，用作动词	
W	fortnight	noun	/ˈfɔːtnaɪt/			古英语 feowertyne niht（十四夜）缩合而成，古时按夜数计日	a period of two weeks	日历上从这个周一数到下下个周一，划掉的格子正好十四个	两星期	He will be away for a fortnight.|They meet once a fortnight.	fourteen nights counted off – 数够十四个夜晚的那一段	两星期：从某一天数起满十四夜的那一段时间	
W	forward	adverb / adjective / verb	/ˈfɔːwəd/			古英语 foreweard（朝前的）← fore（前）+ -weard（朝向）	toward the direction that is in front	队伍最前那个人挪出一步，后头的人跟着补上空位	向前/前面的/转发	She stepped forward to shake his hand.|Please forward the letter to my office.	facing the way ahead – 脸朝着前头那一面	向前：朝前头移动或伸出|前面的：位置在靠前那一头的|转发：把信件往下一处递过去，用作动词	
W	fraud	noun	/frɔːd/			古法语 fraude ← 拉丁语 fraus（属格 fraudis：欺骗、损害）	the crime of getting money by deceiving people	银行流水上多出一笔转账，收款人的名字查无此人	诈骗/骗子	He was jailed for tax fraud.|The scheme turned out to be fraud.	money taken by a made-up story – 拿假话把钱弄到手	诈骗：用假话把别人钱财弄过来的行为|骗子：干这种事的那个人	
W	freedom	noun	/ˈfriːdəm/			古英语 freodom ← freo（不受束缚的）+ -dom（状态、领属）	the state of being able to act without being stopped	门没上锁，什么时候出去、走哪条路都不用先问谁	自由/自主	They fought for freedom of speech.|She enjoys the freedom of working alone.	no one holding the door – 没有谁拦着你动	自由：不受人拦阻、可以自己行动的状态|自主：一件事由自己拿主意，不必听人吩咐	
W	frighten	verb	/ˈfraɪtn/			中古英语 frighten（使惊恐），词干是古英语 fyrhtu（惊恐），与 fright 同支	to make someone suddenly feel afraid	身后突然一声关门，人整个缩了一下，杯里的水晃出来	使害怕/惊吓	The loud thunder frightened the child.|Don't frighten the horses with that flag.	put a sudden fear into someone – 让人心里猛地一紧	使害怕：让对方生出怕的心思|惊吓：突然一下把人吓着，着眼于那一惊	
