settlement	由 settle ＋ -ment 构成	an agreement ending a dispute, or a place where people have settled	和解/定居点	The two sides reached a settlement.|A small settlement grew beside the river.	the state of having come to rest – 落定下来之后的那个状态	和解：把争议了结的协议|定居点：人们安顿下来形成的聚居地			
several	盎格鲁诺曼语 several ← 中世纪拉丁语 sēparālis ← 拉丁语 sēpar（分开的）	more than two but not many	几个的/数个	Several people asked the same question.|He waited several hours for news.	a small number counted separately – 分开来数的一小批	几个的：数量不止两个但不多|数个：若干个			
severe	中古法语 ← 拉丁语 sevērus（严正、庄重）	very bad in degree, or strict and harsh	严重的/严厉的	The storm caused severe damage inland.|She gave him a severe warning.	holding to a hard line without softening – 绷得紧、不放松的	严重的：程度深而后果大|严厉的：要求苛刻不留情			
sew	古英语 siwian ← 原始日耳曼语 *siwjaną ← 原始印欧语 *syewH-（缝）	to join cloth with a needle and thread	缝/缝制	She sewed a button on his coat.|He sews his own curtains.	joining pieces by drawing thread through – 用线穿过把两片连起来	缝：用针线把布连上|缝制：做出衣物等成品		/səʊ/	
sex	中古英语 sexe ← 古法语 sexe ← 拉丁语 sexus（性别），源自 secāre（切分）——即分成两半	the division of living things into male and female	性别/性	The form asks for name and sex.|Sex differences appear early in growth.	the division of living things into two – 生物被分成的那两类	性别：雌雄或男女的分类|性：与生殖相关的一整套特征			
shabby	由 shab（旧时指结疮的皮肤病）＋ -y 构成	worn out and looking poorly kept	破旧的/寒酸的	He wore a shabby brown jacket.|The office looked shabby and dark.	worn until the surface breaks up – 磨到表面破损的样子	破旧的：用久磨损显得残旧|寒酸的：因简陋而显得不体面			
shade	中古英语 schade ← 古英语 sċeadu（阴影、遮蔽）← 原始日耳曼语 *skaduz；与 shadow 同源	an area sheltered from direct sunlight, or a degree of colour	阴凉处/色度	They sat in the shade of an oak.|Choose a lighter shade of blue.	where the light is cut off – 光被挡住的那一片	阴凉处：日光被遮住的地方|色度：同一颜色深浅的等级			
shadow	古英语 sċeaduwe（sċeadu 的斜格形）← 原始西日耳曼语 *skadu ← 原始日耳曼语 *skaduz	the dark shape cast by something blocking light	影子/阴影	His shadow stretched across the road.|The tower cast a long shadow.	the dark outline a body throws – 物体投出的那个暗形	影子：物体挡光投出的暗形|阴影：光照不到的暗区			
shady	由 shade ＋ -y 构成	giving shelter from the sun, or seeming dishonest	阴凉的/可疑的	They found a shady spot to rest.|The deal looked shady from the start.	lying in shade, or keeping out of the light – 处在阴处，或有意避开亮处	阴凉的：有遮荫而不晒|可疑的：见不得光、令人生疑			
shaft	古英语 sċeaft ← 原始西日耳曼语 *skaft ← 原始日耳曼语 *skaftaz ← 原始印欧语 *skeh₂p-（棒、杆）	a long narrow passage, or the long handle of a tool	竖井/柄	The lift runs up a narrow shaft.|He gripped the shaft of the axe.	a long straight rod or the space it fits – 一根长直的杆，或与之相当的长空腔	竖井：上下贯通的窄通道|柄：工具的长杆部分			
shake	古英语 sċeacan ← 原始西日耳曼语 *skakan ← 原始日耳曼语 *skakaną（摇、甩）	to move something quickly back and forth	摇动/抖动	Shake the bottle before opening it.|Her hands shook from the cold.	moving something rapidly to and fro – 使某物快速来回移动	摇动：来回晃动某物|抖动：细而快地颤动			verb / noun
shallow	中古英语 schalowe，与 schalde（浅）相关 ← 古英语 sċeald ← 原始日耳曼语 *skal-	not deep, or lacking serious thought	浅的/浅薄的	Children played in the shallow end.|His argument struck me as shallow.	not reaching far down – 往下探得不远	浅的：从表面到底距离小|浅薄的：思虑不深			
sham	或为 shame 的方言形	not genuine though made to look so, or such a fake	假的/赝品	The box had a sham lock on it.|The whole scheme was a sham.	made to pass for what it is not – 装成另一样东西的仿制	假的：貌似真品而实非|赝品：冒充真货的伪造物			adjective / noun
shame	古英语 sċamu ← 原始西日耳曼语 *skamu ← 原始日耳曼语 *skamō	a painful feeling caused by having done wrong	羞耻/憾事	He hung his head in shame.|It is a shame you cannot come.	the sting felt at one own wrongdoing – 因自身过失而生的刺痛感	羞耻：因过错而生的难堪|憾事：令人觉得可惜的事			
shampoo	借自印地语 चाँपो（chāṁpo），为 चाँपना（按、揉）的命令式，18 世纪中期传入	a liquid soap used for washing hair	洗发液/洗头	She poured shampoo into her palm.|He shampoos his hair every morning.	the wash worked into the hair by kneading – 揉进头发里洗的那种液体	洗发液：洗头用的液体皂|洗头：用它清洗头发		/ʃæmˈpuː/	
shape	古英语 ġesceap（形、造物）← 原始日耳曼语 *skapą，或出原始印欧语 *(s)kep-（切、劈）	the outward form of something, or to give form to it	形状/塑造	The lake has an unusual shape.|She shaped the dough into rolls.	the outline a thing takes – 一物所呈的外廓	形状：物体外形的样式|塑造：把材料做出形状			noun / verb
share	古英语 sċearu（切分、份）← 原始西日耳曼语 *skaru ← 原始日耳曼语 *skarō（划分）← 原始印欧语 *(s)ker-（切）	a part belonging to one person, or to divide with others	份额/分享	Each partner takes an equal share.|They shared the last apple.	a part cut off for one holder – 切给某一方的那一份	份额：分给某人的那一部分|分享：把一物分给他人共用			noun / verb
shark	中古英语 shark（1442 年用以指一种鱼），来源不明；或出德语一支表「无赖」的 shark 的语义扩展	a large sea fish with sharp teeth	鲨鱼	A shark circled the small boat.|Sharks rarely attack in these waters.	the large toothed fish that hunts at sea – 海中猎食的大型利齿鱼				
sharp	古英语 sċearp ← 原始西日耳曼语 *skarp ← 原始日耳曼语 *skarpaz ← 原始印欧语 *(s)ker-（切）	having an edge that cuts easily, or quick to notice	锋利的/敏锐的	Use a sharp knife for the skin.|She has a sharp eye for detail.	coming to a fine cutting edge – 收成能切开东西的细边	锋利的：刃口细而易切|敏锐的：反应快、察觉细			
shatter	中古英语 schateren（散开、猛击），为 scateren（撒开）的擦音化形 ← 古英语 scaterian，或为拟声起源	to break suddenly into many small pieces	粉碎/击碎	The mirror shattered on the tiles.|One blow shattered the thin pane.	breaking apart and flying outward at once – 一下裂开并向外飞散	粉碎：碎成许多小块|击碎：用力使之碎裂			
shave	古英语 sċafan（刮、削）← 原始西日耳曼语 *skaban ← 原始日耳曼语 *skabaną（刮）	to cut hair off the skin with a blade	剃/刮脸	He shaves before breakfast each day.|She shaved the wood down evenly.	taking a thin layer off with a blade – 用刃削去薄薄一层	剃：用刀把毛发贴皮除去|刮脸：剃去面部胡须			
shear	古英语 sċieran（剪、剃）← 原始西日耳曼语 *skeran ← 原始日耳曼语 *skeraną ← 原始印欧语 *(s)ker-（切）	to cut wool from a sheep, or to cut with blades	剪羊毛/剪切	They shear the flock each spring.|Metal shears cleanly under pressure.	cutting close with two blades – 用双刃贴着切下	剪羊毛：把羊身上的毛剪下|剪切：用刃具切断			
shed	古英语 scēadan（分开、划界）← 原始西日耳曼语 *skaiþan ← 原始日耳曼语 *skaiþaną	to let something fall away naturally	脱落/流出	Trees shed their leaves in autumn.|She shed tears at the news.	letting a part separate and drop away – 让一部分分离掉落	脱落：外层自然分离掉下|流出：使液体涌出			
sheep	中古英语 schep ← 古英语 sċēap ← 原始西日耳曼语 *skāp ← 原始日耳曼语 *skēpą，更早词源不明	a farm animal kept for wool and meat	绵羊	The farmer keeps two hundred sheep.|Sheep grazed on the low hill.	the woolly animal kept in flocks – 成群饲养、身覆羊毛的家畜				
sheer	中古英语 shere ← 古英语 sċǣre（纯净、明亮）← 原始日耳曼语 *skairiz	very steep, or complete and unmixed	陡峭的/纯粹的	A sheer cliff rose above them.|It was sheer luck that saved him.	unbroken and without anything else mixed in – 一贯到底、不掺别的	陡峭的：几乎垂直而无缓坡|纯粹的：完全如此、不含其它			
