perplex	经古法语传入 ← 拉丁语 perplexus（缠住的、混乱的），由 per-（彻底）＋ plexus（编织，plectere 的过去分词）构成	to confuse someone completely	使困惑	The instructions perplexed even the engineers.|Her sudden answer perplexed the whole panel.	tangled so thoroughly that no way shows – 缠得彻底以致找不到出路		一团线绕成死结，找不到线头在哪		
persevere	中古英语 perseveren ← 古法语 perseverer ← 拉丁语 persevērāre（一直坚定下去），由 per-（贯穿）＋ sevērus（严正）构成	to keep trying despite difficulty	坚持	She persevered until the machine finally worked.|They persevered through two failed attempts.	keeping strict at it all the way through – 一路严正地做下去		攀爬者反复滑落，每次都重新抓住同一处岩缝		
persuade	拉丁语 persuādēre（劝服），由 per-（彻底）＋ suādēre（劝告）构成	to make someone agree by giving reasons	说服	He persuaded them to change the plan.|Nothing could persuade her to stay longer.	bringing someone all the way round by advice – 靠劝说把人整个说过来		两人隔桌对坐，一方摆出三张纸后另一方点头		
persuasion	法语 persuasion 及其来源 ← 拉丁语 persuāsiō，源自 persuādēre（劝服），由 per-（彻底）＋ suādēre（劝告）构成	the act of making someone agree, or a firm belief	说服/信念	It took gentle persuasion to change his mind.|People of every persuasion attended the talk.	bringing another round to a view – 把人引到某个看法上	说服：把人劝到接受某主张|信念：被说服后持定的看法	一方讲完后，对面原本摇头的人改成了点头		
pessimistic	由 pessimist ＋ -ic 构成；pessimist ← 法语 pessimiste，由拉丁语 pessimus（最坏的）造出	expecting bad things to happen	悲观的	He remained pessimistic about the outcome.|Analysts gave a pessimistic forecast that morning.	expecting the worse outcome – 倾向于认定会有坏结果		天边只余一线亮，行人却已收起伞往回走		
petrol	借自法语 (essence de) pétrole ← 中世纪拉丁语 petroleum ← 希腊语 petrelaion（石中之油），由 petra（石）＋ elaion（油）构成	liquid fuel used in car engines	汽油	The car needs petrol before we leave.|Petrol prices rose again this week.	oil drawn from rock and burnt as fuel – 从石里取出的油，用作燃料		加油枪插进车侧开口，表盘数字不断跳动		
petroleum	借自中世纪拉丁语 petroleum ← 希腊语 petrelaion（石中之油），由 petra（石）＋ elaion（油）构成	thick oil taken from under the ground	石油	Petroleum is refined into several different fuels.|The region exports petroleum and gas.	oil lying under rock – 埋在岩层下的油		钻塔下黑褐色黏液顺管道涌出，装进圆罐		
petty	中古英语 peti／pety（小的）← 古法语 petit（小），另经盎格鲁诺曼语传入；拟声起源	small and not important	琐碎的/小的	He complained about petty details again.|Petty rules slowed the whole process.	small enough not to matter – 小到不值一提	琐碎的：小而无关紧要|小的：规模或数额都不大	桌上一堆碎纸屑被人反复挑出来议论		
pharmacy	中古英语 pharmacy ← 中古法语 pharmacie ← 中世纪拉丁语 pharmacia ← 希腊语 pharmakeia（用药），源自 pharmakon（药、咒物）	a shop where medicines are prepared and sold	药房	She collected the tablets from the pharmacy.|The pharmacy closes at six each evening.	the place where remedies are made up – 配制并售出药物的处所		白柜台后是一排贴标签的小瓶，绿十字灯亮着		
phase	借自新拉丁语 phasis ← 希腊语 phasis（显现的样子），与 phainein（显现）同支	one distinct stage in a process of change	阶段	The project entered its final phase.|This phase lasts about three weeks.	one shown stage among several – 依次显现的其中一段		月相图上四个不同亮法依次排开，各占一格		
phenomenon	晚期拉丁语 phaenomenon（显现之物）← 希腊语 phainomenon，为 phainein（显现）的中性现在分词	something that happens and can be observed	现象	Scientists still cannot explain this phenomenon.|The phenomenon appears only in cold weather.	a thing that shows itself to view – 自行显现出来供人看见的事		观测者记下天上反复出现的那道光带		
philosopher	中古英语 philosophre ← 中古法语 philosophe ← 拉丁语 philosophus ← 希腊语 philosophos（爱智慧者），由 philos（爱）＋ sophos（智）构成	a person who studies the nature of knowledge and existence	哲学家	The philosopher questioned every common assumption.|Students read that philosopher every term.	one who loves wisdom – 爱智慧的人		石廊下有人来回踱步，边走边同随行者辩问		
philosophy	中古英语 philosophie ← 古法语 philosophie ← 拉丁语 philosophia ← 希腊语 philosophia，由 philos（爱）＋ sophia（智慧）构成	the study of basic questions about knowledge and existence, or a set of beliefs	哲学/人生观	She studied philosophy for four years.|His philosophy is to keep things simple.	the love and pursuit of wisdom – 对智慧的爱与追求	哲学：追问知识与存在根本问题的学问|人生观：一个人持定的一套看法	一页页写满追问的稿纸摊开，没有一条结论被圈出		
photo	photograph 的截短形；photo- ← 希腊语 phōs（光）	a picture made with a camera	照片	She showed us a photo of her garden.|He took several photos of the bridge.	an image written by light – 用光留下的图像		相纸上定住了一个瞬间，边缘留着白框		
