slipper	中古英语 slypper，由 slip ＋ -er 构成	a light soft shoe worn indoors	拖鞋/便鞋	She kicked off her slippers by the bed.|One slipper had gone missing.	the shoe the foot slips easily into – 脚一滑就能进去的那种鞋	拖鞋：室内穿的轻便无带鞋|便鞋：柔软好穿的日常鞋			
slippery	中古英语 slipperie，为 slipper（滑的）加 -y 的扩展形 ← 古英语 slipor ← 原始日耳曼语 *slipraz（滑）	hard to stand on or hold because of a smooth wet surface	滑的/易滑的	The wet steps were dangerously slippery.|Fish are slippery to hold.	so smooth that grip is lost – 光到抓不住、站不稳	滑的：表面不易附着|易滑的：容易让人打滑的			
slit	中古英语 slitten ← 古英语 slītan ← 原始日耳曼语 *slītaną（撕开）← 原始印欧语 *(s)leyd-（撕、裂）	a long narrow cut or opening	狭缝/切口	Light came through a slit in the curtain.|He slit the envelope open.	a long narrow opening torn or cut – 撕开或切开的一道细长口	狭缝：细长的开口|切口：刀划出的口子			
slogan	早期作 slughorn（战吼）← 苏格兰盖尔语 sluagh-ghairm，由古爱尔兰语 slóg（军旅）＋ gairm（呼喊）构成	a short phrase used to promote an idea or product	标语/宣传语	The slogan appeared on every poster.|They chanted the same slogan again.	a short cry raised to rally people – 为号召众人而喊出的短句	标语：写出来的简短号召|宣传语：为推广而用的短句			
slope	由 aslope（斜着）截头而成	a surface with one end higher than the other	坡/倾斜	The ball rolled down the grassy slope.|The roof slopes towards the back.	a surface tilted from level – 与水平面成角的一片面	坡：地面倾斜的一段|倾斜：偏离水平的状态			
slot	中古英语 slot ← 古法语 esclot，或出古诺尔斯语 slóð（辙迹）	a narrow opening for putting something in, or a position in a schedule	狭槽/位次	Put the coin in the slot.|She got an early slot on the programme.	a narrow gap that something fits into – 让东西正好嵌进去的窄口	狭槽：细长的插入口|位次：安排表上的一个位置			
slow	古英语 slāw（迟钝、缓）← 原始西日耳曼语 *slaiw ← 原始日耳曼语 *slaiwaz	moving or happening at low speed	慢的/迟缓的	Traffic was slow all morning.|He is slow to make decisions.	taking a long time to cover ground – 走同样的路要用更久	慢的：速度低|迟缓的：反应或进展不快			
slum	1812 年起见于记载，原为俚语指「后间」，来源不明	a poor crowded area of a city with bad housing	贫民区/棚户区	Families lived in the slum for years.|The city cleared the old slum.	a crowded quarter of poor housing – 住房简陋而拥挤的一片街区	贫民区：城中贫困住户聚居处|棚户区：以简易房搭成的居住区			
sly	中古英语 sly ← 古诺尔斯语 slǿgr（狡、机巧）← 原始日耳曼语 *slōgiz	clever at deceiving people in a quiet way	狡猾的/偷偷的	He gave a sly glance at the door.|The fox is famously sly.	clever in a way kept out of sight – 机巧而不露在明处	狡猾的：善用心计不老实|偷偷的：不让人察觉地进行			
small	古英语 smæl（窄、细）← 原始西日耳曼语 *smal ← 原始日耳曼语 *smalaz	not large in size or amount	细小的/少量的	They live in a small flat.|Only a small number replied.	taking up little room or measure – 占的地方或量都不多	细小的：体积或规模不大|少量的：数量不多			
smart	古英语 smeart（刺痛的）← 原始西日耳曼语 *smart ← 原始日耳曼语 *smartaz（疼）← 原始印欧语 *(s)merd-（咬、刺）；「聪明」义由「刺得利」引申	quick to learn and understand, or neat in appearance	聪明的/时髦的	She is the smartest student here.|He wore a smart dark suit.	sharp enough to sting – 利到能刺人	聪明的：理解快、脑子灵|时髦的：装束齐整入时			
smash	来源不明，或为拟声	to break something violently into pieces	打碎/猛撞	He smashed the glass on the floor.|The car smashed into a wall.	breaking something apart with force – 用力使之裂成碎块	打碎：使物体破成碎片|猛撞：以大力撞上			verb / noun
smell	中古英语 smellen ← 古英语 *smyllan ← 原始西日耳曼语 *smallijan（燃、冒烟）← 原始印欧语 *smel-（燃、熏）	to notice something through the nose, or a quality noticed that way	闻到/味道	I can smell fresh bread.|The room had a strange smell.	taking something in through the nose – 用鼻子把东西接进来	闻到：用鼻子察觉到|味道：被鼻子察觉的那种性质			verb / noun
smile	中古英语 smilen ← 中古低地德语 *smîlen ← 古高地德语 smielēn ← 原始日耳曼语 *smilāną ← 原始印欧语 *smey-（笑、喜）	to turn the mouth upward to show pleasure	微笑/笑容	She smiled at the old photograph.|A faint smile crossed his face.	turning the mouth up to show gladness – 把嘴角向上以示欢喜	微笑：不出声地笑|笑容：脸上呈现的笑的样子			verb / noun
smog	由 smoke ＋ fog 混合而成	a mixture of smoke and fog hanging over a city	烟雾	Smog covered the city for three days.|Heavy smog closed several schools.	smoke and fog settled together – 烟与雾混在一起沉着不散				
smoke	古英语 smoca ← 原始日耳曼语 *smukōną ← 原始印欧语 *(s)mewg-（冒烟）	the grey gas given off by something burning	烟/抽烟	Smoke rose from the small chimney.|He gave up smoking last year.	the grey stream given off by fire – 火所放出的灰色气流	烟：燃烧产生的灰白气体|抽烟：吸食烟草这件事			noun / verb
smooth	中古英语 smothe ← 古英语 smēþe ← 原始西日耳曼语 *smanþī，更早词源不明	having an even surface with no bumps	平滑的/顺畅的	The table has a smooth wooden top.|The change went smoothly enough.	even all over with nothing standing up – 通体齐平、没有凸起	平滑的：表面无凸凹|顺畅的：进行中没有阻碍			
smuggle	早期作 smuckle，借自荷兰语 smokkelen 或低地德语 smuggeln（潜运）	to move goods illegally into or out of a country	走私/偷运	They smuggled the goods across the border.|Someone smuggled a note inside.	moving something across by keeping it hidden – 藏起来运过界去	走私：非法运货进出关境|偷运：暗中把东西运过去			
snack	借自荷兰语 snacken（咬、吃一点）	a small amount of food eaten between meals	小吃/零食	She packed a snack for the journey.|We stopped for a quick snack.	a small bite taken between meals – 正餐之间吃的一小口	小吃：分量小的简便食物|零食：正餐之外随手吃的东西			
snake	古英语 snaca ← 原始西日耳曼语 *snakō（爬行者），源自 *snakan（爬、滑）	a long thin reptile with no legs	蛇	A snake crossed the warm path.|Some snakes hunt at night.	the legless crawler that slides along – 无足而贴地滑行的爬虫				
snap	借自荷兰语或低地德语 snappen（咬、抓）	to break with a sharp sound, or such a sound	啪一声断/猛地咬住	The dry branch snapped underfoot.|We heard the snap of a lock.	breaking with one sharp report – 一声脆响之间断开	啪一声断：一下断开并发出脆响|猛地咬住：突然合口咬上			verb / noun
snatch	中古英语 snacchen ← 古英语 *snæċċan ← 原始西日耳曼语 *snakkjan ← 原始日耳曼语 *snakjaną	to take something quickly and roughly	夺过/抢夺	He snatched the letter from her hand.|A gull snatched the bread away.	taking something away with one quick grab – 一把抓走	夺过：迅速取走对方手上的东西|抢夺：以强力取得			
sneak	或出中古英语 sniken（爬、匍匐）← 古英语 snīcan ← 原始日耳曼语 *snīkaną，拟声起源	to move quietly so as not to be seen	潜行/偷偷做	He sneaked past the sleeping guard.|She sneaked a look at the answers.	moving low and quiet to avoid notice – 低身轻步避人察觉	潜行：不出声地移动|偷偷做：暗中进行不让人知			verb
sneeze	中古英语 snesen，为更早 fnesen 的变体 ← 古英语 fnēosan（喷鼻）← 原始日耳曼语 *fneusaną ← 原始印欧语 *pnew-（呼气）	to blow air suddenly out of the nose	打喷嚏	Dust made her sneeze three times.|He sneezed into his elbow.	air forced suddenly out through the nose – 气猛地从鼻腔冲出				
sniff	中古英语 sniffen，拟声起源	to take air in through the nose to smell something	嗅/吸气	The dog sniffed at the closed door.|She sniffed the milk carefully.	drawing air in through the nose – 把空气从鼻子吸进去	嗅：用鼻子辨气味|吸气：把气吸进鼻腔			
snow	古英语 snāw ← 原始西日耳曼语 *snaiw ← 原始日耳曼语 *snaiwaz ← 原始印欧语 *snóygʷʰos	frozen water falling from the sky in white flakes	雪/下雪	Snow covered the fields overnight.|It snowed heavily all weekend.	frozen water coming down in white flakes – 结冰的水以白片落下	雪：从空中降下的白色结晶|下雪：降雪这个过程			
snowstorm	由 snow ＋ storm 复合而成	a storm with heavy falling snow and strong wind	暴风雪	A snowstorm closed the mountain road.|They waited out the snowstorm indoors.	a storm driving heavy snow before it – 卷着大雪的风暴				
soak	古英语 socian（浸、泡）← 原始日耳曼语 *sukōną，为 *sūkaną（吸）的使动形	to leave something in liquid until it is wet through	浸泡/吸透	Soak the beans in cold water overnight.|Rain soaked through his coat.	letting liquid work all the way in – 让液体一直渗进去	浸泡：放在液体里泡着|吸透：液体渗遍整个物体			
soap	古英语 sāpe ← 原始西日耳曼语 *saipā ← 原始日耳曼语 *saipǭ ← 原始印欧语 *seyb-（滴、渗）	a substance used with water for washing	肥皂	She washed her hands with soap.|The soap left a faint scent.	the substance that lifts dirt with water – 与水同用能带走污垢的东西				
soar	中古英语 soren ← 古法语 essorer（升空）← 俗拉丁语 *exaurare，由拉丁语 ex（出）＋ aura（气、微风）构成	to rise or fly high in the air, or to increase sharply	翱翔/猛增	An eagle soared above the ridge.|Fuel prices soared that winter.	rising high on the air – 借着气流升到高处	翱翔：展翅在高空盘旋|猛增：数值急剧上升			
