municipal	The municipal library closes at six.|Municipal elections are held every four years.
muscle	He tore a muscle in his calf.|Regular rowing builds shoulder muscle.
muscular	The swimmer had a muscular back.|Years of lifting gave him a muscular build.
mushroom	She fried the mushrooms in butter.|A single mushroom pushed up through the leaves.
mutter	He muttered something and turned away.|She heard a mutter of complaint behind her.
mysterious	A mysterious light appeared over the hill.|His absence remains mysterious.
mystery	The mystery was never solved.|How the key got there is a mystery.
narrative	The film follows a simple narrative.|Her narrative of the escape held everyone silent.
neglect	He neglected the garden all summer.|Years of neglect had ruined the roof.
negligible	The difference in price is negligible.|Rainfall that month was negligible.
negotiate	The unions negotiated a better contract.|They negotiated for three days without result.
newspaper	He reads the newspaper over breakfast.|A local newspaper broke the story first.
next	We catch the next train to Leeds.|Turn left at the next junction.
nor	She could not swim, nor could her brother.|Neither the driver nor the passenger was hurt.
notwithstanding	Notwithstanding the rain, the match went ahead.|He signed it, his doubts notwithstanding.
northeast	The wind swung round to the northeast.|Their farm lies northeast of the village.
northwest	Storms usually arrive from the northwest.|The northwest corner of the field floods.
nothing	There was nothing left in the cupboard.|He said nothing for a long while.
notice	I noticed a crack in the glass.|A notice on the door gave the new hours.
noticeable	The change in his voice was noticeable.|There is a noticeable draught near the window.
now	The rain has stopped now.|Now is the time to ask.
nuclear	The plant supplies nuclear power to the region.|Nuclear physics was her chosen field.
numb	His fingers went numb in the cold.|The injection numbs the whole area.
number	Write your number at the top.|A large number of seats were empty.
nutrition	Good nutrition matters most in childhood.|The label gives nutrition information per serving.
obscure	The reference is obscure to most readers.|Clouds obscured the summit all morning.
observation	Her observation proved entirely correct.|Careful observation showed the fault was electrical.
observe	Astronomers observed the comet for weeks.|Please observe the speed limit here.
obstacle	Cost was the main obstacle to the plan.|A fallen tree formed an obstacle in the lane.
