W	capital	noun / adjective	/ˈkæpɪtl/	caput	capit（caput 头）+ -al（属于…的）→ 居于头位的那一个	拉丁语 capitalis（居首的、关乎头的）← caput（头）；一国之首、一笔居首的钱、一行字里领头的字形，都从「头」分出	the chief city of a country, money used to produce more money, or a large form of a letter	地图上众多圆点里只有一个标着五角星，名单最上面一行也留给它	首都/资本/大写字母/主要的	Paris is the capital of France.|They raised capital for the new factory.	the one that stands at the head of the rest – 处在头位的那一个	首都：一国众多城市里排在头位的那座|资本：一笔钱被摆在头位，用来生出更多钱|大写字母：一行字里个头最大、领头的那种字形|主要的：同类之中最要紧、排第一的		
W	casualty	noun	/ˈkæʒuəlti/	cadere	casual（casus 落下来的事）+ -ty（名词后缀）→ 事情落下来时被压在下面的那个人	中世纪拉丁语 casualitas（偶然事件）← 拉丁语 casualis ← casus（落下、意外）← cadere（落下）	a person killed or injured in an accident, a disaster, or a war	爆炸过后统计名单一行行拉长，每行后面写着送去哪家医院	伤亡者/伤亡人数/事故受害者	The bomb caused over thirty casualties.|Both sides suffered heavy casualties that winter.	the one the falling event came down on – 落下来的那件事压到的人	伤亡者：事情砸下来时正好在下面的那个人|伤亡人数：把压到的人数出来，一行一个|事故受害者：不限战场，任何落下来的意外都算		
W	cherish	verb	/ˈtʃerɪʃ/			古法语 cherir（珍爱）← chier（亲爱的）← 拉丁语 carus（亲爱的、贵重的）；与 carrus（四轮货车）不同源，勿混	to hold someone or something dear and look after them carefully	一张旧照片夹在书里，边角磨白了还用软布垫着，搬几次家都没丢	珍爱/珍藏/怀有	She cherished the letters from her mother.|We cherish the memory of that summer.	holding a thing dear enough to guard it – 拿它当贵重的，看着护着	珍爱：把人或物看得贵重，肯花心思待它|珍藏：贵重到要收起来，不轻易拿出|怀有：心里长久揣着一个念头或愿望		
W	border	noun / verb	/ˈbɔːdə(r)/			中古英语 bordure ← 古法语 bordeure（边饰）← bord（边、船舷）← 法兰克语 *bord（板、边），与古英语 bord（板）同支	the line where one country or area ends and the next begins	两国之间一道白线横过公路，一侧车牌全换了颜色，护照要拿出来	边界/边缘/镶边/毗邻	They crossed the border at dawn.|France borders Spain in the south.	the edge where one thing stops and the next starts – 一样东西到头、下一样开头的那条边	边界：两片地之间划出来的那条线，过线要验证件|边缘：一块布或一页纸最外的一圈|镶边：沿最外一圈加上的一道装饰|毗邻：两块地共用那条线，也就是挨着		
W	bureaucracy	noun	/bjʊəˈrɒkrəsi/			法语 bureaucratie：bureau（写字台、办公室）← 古法语 burel（铺台面的粗毛呢）← 晚期拉丁语 burra（粗毛）；后半 -cratie ← 希腊语 kratos（权力），与 demos（民众）一支不同根	a system of government or management run by many officials following fixed rules	一份申请在七张写字台之间挨个盖章，少一个红印就退回重来	官僚机构/官僚作风/繁琐程序	The bureaucracy delayed his visa for months.|She complained about hospital bureaucracy.	power that sits with the desks and their rules – 权力落在一排写字台和它们的规矩上	官僚机构：一层层办公桌搭起来的那套管事班子|官僚作风：办事只认规矩不认事，推来推去|繁琐程序：一道章接一道章，走完要很久		
W	cafeteria	noun	/ˌkæfəˈtɪəriə/			美洲西班牙语 cafetería（卖咖啡的铺子）← café ← 法语 café ← 意大利语 caffè ← 土耳其语 kahve ← 阿拉伯语 qahwa（咖啡）	a restaurant where you collect your own food at a counter and carry it to a table	端着托盘沿柜台一路挪，看中哪样自己夹，末端结账再找位子坐	自助餐厅/食堂	We ate lunch in the school cafeteria.|The hospital cafeteria closes at eight.	a place where you fetch your own tray – 自己端着盘子取食的地方	自助餐厅：吃的摊在柜台上，取多少自己拿|食堂：机关学校里供人吃饭的那间大屋		
W	candidate	noun	/ˈkændɪdət/			拉丁语 candidatus（穿白袍的人）← candidus（雪白的）← candere（发白光）；罗马求官的人穿白托加站到人前	a person who is trying to be chosen for a job, a position, or a prize	一群人穿着刚漂过的白袍站在广场上，谁都想让人一眼先看见自己	候选人/候补者/应试者	Three candidates are running for mayor.|Each candidate gave a short speech.	the one standing out in white to be picked – 穿得雪白站出来等人挑的那个	候选人：站出来让众人挑的那一个|候补者：名字排在单子上，等位子腾出来|应试者：来受考、听人挑选的人		
W	capitalism	noun	/ˈkæpɪtəlɪzəm/	caput	capital（caput 头 → 居首的那笔钱）+ -ism（一套体制）→ 以那笔钱为轴心转起来的体制	英语 capital 加 -ism，十九世纪中期造词；capital ← 拉丁语 capitalis ← caput（头）	an economic system in which businesses and property are privately owned and run for profit	工厂、店铺、田地都记在私人名下，谁投的钱多谁说话，年底看账上多出多少	资本主义	Capitalism rewards those who take business risks.|He wrote a long critique of capitalism.	a system built around privately held money that must grow – 以私人手里那笔钱的增长为轴的体制			
W	carpet	noun / verb	/ˈkɑːpɪt/			古法语 carpite ← 中世纪拉丁语 carpita（拆绒织成的厚呢）← 拉丁语 carpere（拉扯、梳绒）	a thick woven covering for a floor	整间屋子的地板被一层厚绒遮住，光脚踩下去陷半分，脚步声也闷了	地毯/铺满	They laid a new carpet in the hall.|Fallen leaves carpeted the whole path.	pulled wool woven thick and spread on the floor – 拆下来的绒毛织厚了摊在地上	地毯：铺在地板上的那层厚绒织物|铺满：像那层绒一样把地面整片盖住		
W	cassette	noun	/kəˈset/			法语 cassette（小盒）← 古法语 casse（箱）← 拉丁语 capsa（箱、匣）；本项目未为 capsa 一支建根	a small flat plastic case holding magnetic tape for recording sound or pictures	巴掌大的塑料扁盒，两个齿轮中间绷着一条褐色带子，按下去就转	盒式磁带/小盒	He still keeps a box of cassettes.|She pushed the cassette into the player.	a little box with the tape wound inside – 一只小盒，带子绕在里头	盒式磁带：把磁带装进小盒，整盒取放|小盒：原义就是一只盛东西的小匣		
