W	attention	noun	/əˈtenʃn/	tendere	at-/ad-（朝向）+ tent（伸，← tendere）+ -ion → 把心力朝一处伸过去	拉丁语 attentio（专心）← attendere：ad（朝向）＋tendere（伸展）	the act of directing your mind or eyes towards something	教室里所有人的头齐齐转向门口那个人，笔都停在纸上	注意/注意力/关注	May I have your attention for a moment.|The child craves his mother's attention.	the mind stretched out towards one thing – 把心力朝一处伸过去	注意：把心朝某处伸过去，别处就顾不上|注意力：能这么伸出去的那份心力，有多有少|关注：长期把这份心力搭在某件事上	
W	extension	noun	/ɪkˈstenʃn/	tendere	ex-（往外）+ tens（伸，← tendere）+ -ion → 往外伸出去的那一截	拉丁语 extensio（伸展）← extendere：ex（往外）＋tendere（伸展）	an added part that makes something longer or larger, or extra time granted	桌子中间加进一块板，两头各多出一截，原先坐六人现在坐十人	延伸部分/扩建/延期/电话分机	They built an extension at the back of the house.|He asked for an extension on the deadline.	the piece stretched out beyond the original – 从原来那截往外伸出去的部分	延伸部分：接在原物后面多出来的那一段|扩建：房子往外接出一块，占地变大|延期：时间也这么往外拉长一截|电话分机：总机往外接出去的那一条线	
W	extent	noun	/ɪkˈstent/	tendere	ex-（往外）+ tent（伸，← tendere）→ 一样东西往外伸到哪里为止	盎格鲁法语 extente（丈量、估值）← 古法语 estendre ← 拉丁语 extendere：ex（往外）＋tendere（伸展）	how far something reaches, or how large or serious it is	火烧过的地界用绳子围起来，人拿尺子量出从这头到那头有多远	程度/范围/广度	The extent of the damage is still unclear.|To some extent I agree with you.	how far a thing stretches before it stops – 一样东西往外伸到哪里为止	程度：一件事到了多深多重的那个刻度|范围：从这头伸到那头所圈住的那一片|广度：伸得开不开，摊得大不大	
W	intense	adjective	/ɪnˈtens/	tendere	in-（朝一点）+ tens（绷，← tendere）→ 力气全绷向一处，不散开	拉丁语 intensus（绷紧的）← intendere：in（朝向）＋tendere（伸展、绷紧）	very strong or extreme in degree, or very serious and concentrated	阳光被放大镜收到一个小点上，纸面立刻冒起一缕烟	强烈的/剧烈的/专注的	She felt an intense pain in her side.|He gave the map an intense stare.	all the force pulled tight onto one point – 力气全绷向一点上	强烈的：程度高到压过别的感觉|剧烈的：来势又猛又急，如疼得受不住|专注的：整个人绷向一件事，别的都不进眼	
W	intention	noun	/ɪnˈtenʃn/	tendere	in-（朝向）+ tent（伸，← tendere）+ -ion → 心思先朝那个方向伸出去	拉丁语 intentio（用心、意向）← intendere：in（朝向）＋tendere（伸展）	what you plan or mean to do	他还没起身，眼睛已经盯住桌上那只杯子不放	意图/打算/用意	I have no intention of leaving early.|Her intentions were good from the start.	the mind reaching toward a thing before the body moves – 身子没动，心思先朝那边伸过去	意图：心里朝着的那个方向，还没做出来|打算：准备去做的那件事本身|用意：说这话做这事背后要达到的那点目的	
W	tense	adjective	/tens/	tendere	tens（绷紧，← tendere 伸展）→ 拉到不能再拉，一碰就弹	拉丁语 tensus（绷紧的，tendere 的过去分词）← tendere（伸展、拉紧）；表「时态」的 tense 另出拉丁语 tempus（时间），同形异源	stretched tight, or nervous and unable to relax	他坐在椅子边上，肩膀提着，手指扣住膝盖不松	紧张的/绷紧的	The rope was tense and hummed in the wind.|Everyone went tense when the phone rang.	pulled tight, one touch away from snapping back – 拉到不能再拉，一碰就弹	紧张的：人像被拉紧的绳，松不下来|绷紧的：说实物被拉得直挺挺，没有一丝松量	
W	tension	noun	/ˈtenʃn/	tendere	tens（拉紧，← tendere）+ -ion → 两头对拉时中间那股劲	拉丁语 tensio（拉紧）← tendere（伸展、拉紧）	the state of being stretched tight, or strained feeling between people	两人各拽住绳子一头往后退，绳子中段绷成一条直线，谁也不敢先松手	张力/紧张关系/绷紧度	Tension in the cable was measured hourly.|Tension between the two families grew.	the pull that builds when two ends draw apart – 两头往反方向拉时中间那股劲	张力：物体被两头拉时内部那股力|紧张关系：人和人之间也这么互相拽着，随时会断|绷紧度：绳子或琴弦拉到多紧的那个量	
W	tent	noun	/tent/	tendere	tent（撑开，← tendere 伸展）→ tenta：把布撑开绷住 → 撑开来住人的那件布屋	拉丁语 tenta（撑开的东西）← tendere（伸展、撑开）	a shelter made of cloth stretched over poles	几根杆子支起来，布被拉开绷住，四角钉进土里就能睡人	帐篷	They pitched a tent by the river.|Rain drummed on the roof of the tent.	cloth stretched over poles to live under – 把布撑开绷住，底下就能住人		
W	tender	adjective	/ˈtendə/			古法语 tendre ← 拉丁语 tener（软的、幼嫩的、年少的）；英语拼写里那个 -d- 是后来插进去的，与 tendere（伸展）不同词	soft and easy to cut or chew, or gentle and full of care	刀一压就断，肉在盘里散开，纤维不用嚼就化了	嫩的/温柔的/一碰就疼的	The meat was tender and fell apart.|She gave him a tender look.	soft enough to yield at the lightest press – 软到轻轻一压就让开	嫩的：质地软，容易切开咬开|温柔的：待人的手法也这么轻，不硬来|一碰就疼的：皮肉发软发弱，一按就受不了	
W	advise	verb	/ədˈvaɪz/	vid	a-/ad-（朝向）+ vis（看，← videre）→ 把自己看到的摆到你眼前	古法语 aviser（细看、斟酌）← avis（看法）← 拉丁语 ad visum（照所见的）← videre（看）	to tell someone what you think they should do	他把地图铺在桌上，手指点着其中一条路说走这边	建议/劝告/通知	The doctor advised him to rest.|Please advise us of any change of address.	setting what you have seen before another's eyes – 把自己看见的摆到别人眼前	建议：把你看到的路指给对方，让他自己走|劝告：对方要走错了，你出声拦一下|通知：正式把情况摆到对方眼前，让他知道	
