swim	中古英语 swymmen ← 古英语 swimman（游、浮）← 原始日耳曼语 *swimmaną（游）← 原始印欧语 *swem-（晃动、移动、游）	to move through water using the arms and legs	游泳/游/漂浮	She swims twice a week.|The dog swam to the far bank.	moving oneself through water without touching bottom – 不着底，靠自身动作在水里前进	游泳：把这件事当运动说|游：单指在水中行进这个动作|漂浮：不使力也能停在水面这一层			
swing	中古英语 swyngen ← 古英语 swingan（挥、甩）← 原始日耳曼语 *swinganą ← 原始印欧语 *sweng-（弯、挥）	to move back and forth while hanging from a fixed point	摇荡/挥动/转变	The gate swung open in the wind.|He swung the axe over his shoulder.	hanging from one point and travelling in an arc – 一端固定，另一端划着弧来回走	摇荡：吊着的东西来回划弧|挥动：手臂或器物划出同样的弧|转变：立场像挂着的东西那样倒向另一边			noun / verb
switch	英语 switch 或借自中古荷兰语 swijch（细枝），1592 年前后始见；「扳动装置」义 1797 年始见，本指矿车木轨上可转动的活轨	a device for turning something on or off, or a change from one thing to another	开关/转换/调换	He flicked the switch and the room went dark.|They made a switch to cheaper suppliers.	a small movement that sends things down another path – 一个小动作，把去向换到另一条路上	开关：扳一下就通断电流的装置|转换：从一种状态改到另一种|调换：把两者的位置对换			noun / verb
sword	中古英语 sword ← 古英语 sweord ← 原始日耳曼语 *swerdą（剑），或出自原始印欧语 *seh₂w-（锐利）	a weapon with a long metal blade and a handle	剑/刀剑	He drew his sword from its sheath.|The museum displays medieval swords.	a long blade held by a hilt, made for cutting and thrusting – 带柄的长刃，用来劈与刺	剑：两面开刃的那种长兵|刀剑：连着刀一起说的通称			
symbol	借自法语 symbole ← 拉丁语 symbolum（记号、凭信）← 希腊语 symbolon（借以推知之物），由 syn-（一同）＋ ballo（投、放）构成，本指两半合验的凭证	a mark or thing that stands for something else	符号/象征/标志	The dove is a symbol of peace.|Each element has a chemical symbol.	one thing put in place of another to point at it – 拿一物代另一物，用来指认它	符号：约定用来代表某物的记号|象征：所代表的是抽象之义，如和平|标志：代表某个组织或身份的那个记号			
symposium	借自拉丁语 symposium ← 希腊语 symposion（宴饮聚会），由 syn-（一同）＋ pino（饮）构成，古希腊人在酒会上论学	a formal meeting at which experts discuss a particular subject	专题研讨会/座谈会	She presented a paper at the symposium.|The symposium ran for three days.	a gathering held so that specialists can talk one subject through – 专为把一个题目谈透而聚的会	专题研讨会：围绕一个题目、有备而来的会|座谈会：形式更松，与会者轮流发言			
symptom	中古英语 sinthoma ← 中世纪拉丁语 sinthoma ← 晚期拉丁语 symptoma ← 希腊语 symptoma（一同落下之事），由 syn-（一同）＋ pipto（落下）构成	a sign of illness that a patient notices or shows	症状/征兆	A high fever is the first symptom.|Ignoring early symptoms can be risky.	an outward sign that comes along with the illness itself – 随病一同出现、显在外面的那个迹象	症状：病在身上显出的表现|征兆：把这层推广开，指任何事将发的先兆			
syndrome	借自新拉丁语 syndrome ← 希腊语 syndrome（一同奔集），由 syn-（一同）＋ dromos（跑）构成	a set of symptoms that regularly occur together	综合症/一组并发表现	Doctors named the syndrome after him.|The syndrome affects sleep and appetite.	several signs that keep turning up together, so they are named as one – 几个迹象总是一齐来，于是合起来给一个名	综合症：作为病名的那一组表现|一组并发表现：强调它们同时出现这一点			
system	部分借自中古法语 systeme，部分直接取自晚期拉丁语 systema ← 希腊语 systema（组织起来的整体），由 syn-（一同）＋ histemi（立）构成	a set of connected parts that work together as a whole	系统/体系/制度	The heating system broke down last night.|He knows the legal system well.	parts joined so that they act as one working whole – 各部分接在一起，合成一个能运转的整体	系统：各部件相连、协同运转的那一整套|体系：把这层用到知识或理论上|制度：把它用到人事的规程上			
systematic	借自晚期拉丁语 systematicus ← 通用希腊语 systematikos ← systema（组织起来的整体）＋ 形容词后缀 -ikos	done according to a fixed plan or method, step by step	系统的/有条理的	They made a systematic search of the building.|Her notes are systematic and easy to follow.	following a set order instead of going at random – 照定好的次序来，不东一下西一下	系统的：按整体规划逐项推进|有条理的：条目分明，先后清楚			
table	中古英语 table ← 古英语 tabule ← 拉丁语 tabula（板、木牌、图表），经日耳曼语支早期借入；「家具」一义另经古法语 table 传入	a piece of furniture with a flat top on legs, or facts arranged in rows	桌子/表格/搁置	They sat around the kitchen table.|The table shows rainfall by month.	a flat board held up so things can be set out on it – 撑起来的一块平板，东西摊在上面	桌子：那件家具本身|表格：把数字摊在平面上按行列排开，同是一块平板|搁置：把议案先放到台面上不议，引申为暂缓			
tablet	中古英语 tablet ← 古法语 tablete，是 table（板）的指小形 ← 拉丁语 tabula（板）	a small flat piece of medicine, or a flat portable computer	药片/平板电脑/石板	Take one tablet after each meal.|She reads the news on her tablet.	a small flat slab you hold in the hand – 手里拿得住的一小块平板	药片：压成扁片的药|平板电脑：整机就是一块可握的平板|石板：古时刻字用的那种小平板			
tackle	中古英语 takel（索具、装备）← 中古荷兰语／中古低地德语 takel（船上索具），或与 taken（抓、取）相关	to deal with a difficult task, or to bring down an opponent in sport	应对/擒抱/器具	She tackled the problem head on.|He tackled the striker just outside the box.	getting a firm hold on something in order to deal with it – 先抓住，然后处置	应对：把难题抓在手里去办|擒抱：球场上抱住对手使其停下|器具：本义是船上那套索具，泛指成套家伙			noun / verb
tactic	借自新拉丁语 tactica ← 希腊语 taktikos（善于排布的）← tasso（排列、部署）	a particular method used to achieve something in the short term	战术/策略	Changing tactics won them the match.|Delay is a common negotiating tactic.	the particular move chosen to gain an advantage now – 为眼下取胜而选定的那一手	战术：具体一仗一局里的打法|策略：泛指为达目的采用的路数			
tag	中古英语 tagge（衣物上垂下的小片），或出自北日耳曼语支；比较挪威语 tagg（尖、刺）、瑞典语 tagg（刺）	a small piece of paper or cloth attached to something to give information	吊牌/标记/附注	The price tag was still on the coat.|Each file is tagged with a date.	a small piece fixed on to tell you what a thing is – 挂上去的一小片，用来说明这东西是什么	吊牌：挂在商品上写着价钱尺码的那片|标记：给东西加上可辨认的记号|附注：在原有内容后添上的一小段说明			
tail	中古英语 tail ← 古英语 tæġl ← 原始日耳曼语 *taglą（毛、尾毛）← 原始印欧语 *doḱ-（尾上的毛）	the part of an animal that sticks out at the back end	尾部/末端/跟踪	The cat's tail twitched once.|Police tailed the van for an hour.	the part that trails at the back end – 拖在最后端的那一截	尾部：动物身后伸出的那一段|末端：把这层用到物件上，指最后那一头|跟踪：一直缀在人后面，像尾巴那样甩不掉			noun / verb
tale	中古英语 tale ← 古英语 talu（叙述、计数）← 原始日耳曼语 *talō（计算、数目）← 原始印欧语 *del-（数、算）；与 tell、talk 同支	a story, especially one that is old or made up	故事/传说	He told us a tale of shipwreck.|Local tales say the well never dries.	a story told from one person to the next – 一个人讲给另一个人、这样传下来的故事	故事：讲出来的一段情事|传说：口耳相传、年头已久的那种			
talent	中古英语 talent ← 古英语 talente，借自拉丁语 talentum（希腊的一种重量与钱币单位）← 希腊语 talanton（天平、一定的重量）；「天资」义出自圣经银子的比喻	a natural ability to do something well	才能/天赋/人才	She has a real talent for languages.|The team is short of young talent.	an ability one is born with rather than taught – 生来就有、不是学来的那份能力	才能：能做好某事的本事|天赋：强调这本事得自天生|人才：把这份本事落到具体的人身上			
talk	中古英语 talken ← 古英语 *tealcian（谈、闲话）← 原始日耳曼语 *talkōną（说、闲谈），是 *talōną（数、述）的反复体；与 tell 同支	to say things to someone as part of a conversation	交谈/谈论/演讲	They talked for an hour about the plan.|He gave a talk on bird migration.	putting words back and forth between people – 话在人与人之间来回递	交谈：两人以上互相说与听|谈论：把话题落到某一件事上|演讲：一人对众人成段地说			
tall	中古英语 tal（体面的、出色的）← 古英语 ġetæl（敏捷的、有把握的）← 原始日耳曼语 *talaz ← 原始印欧语 *del-（数、量）；词义几经转折才落到「高」上	having greater than average height	高的/个子高的	He is tall enough to reach the shelf.|A tall hedge hid the garden.	measuring more from bottom to top than most – 从下到上量起来比多数都长	高的：物体的竖向尺寸大|个子高的：专说人的身高			
tame	中古英语 tame ← 古英语 tam（已驯的）← 原始日耳曼语 *tamaz（被带进家中的）← 原始印欧语 *demh₂-（驯服、制服）	no longer wild, used to being near people	驯服的/温顺的/使驯化	The deer here are surprisingly tame.|It took months to tame the young horse.	brought in close enough to people to stop fearing them – 与人处得够近，不再怕人	驯服的：野性已去，肯听人摆布|温顺的：性子和顺，不抵触|使驯化：把野的变成这样这个过程			adjective / verb
