sponge	中古英语 sponge ← 古英语 spunge ← 拉丁语 spongia ← 希腊语 spongos（海生多孔体），取代了古英语本土词 swamm	a soft porous mass that soaks up liquid and gives it back when pressed	海绵/海绵擦/擦洗	She wiped the counter with a damp sponge.|The sponge soaked up all the spilt milk.	a porous body that holds liquid and releases it under pressure – 能吸住液体、一压又放出来的多孔体	海绵：孔隙互通所以吸得进也挤得出|海绵擦：拿这种多孔体做的清洁工具|擦洗：用它蘸水抹过表面这个动作			
spontaneous	借自晚期拉丁语 spontaneus（自愿的）← 古典拉丁语 sponte（出于自愿）	happening from inner impulse, without being planned or prompted from outside	自发的/自然产生的/一时冲动的	The crowd broke into spontaneous applause.|Her spontaneous decision surprised everyone at the table.	arising from within rather than being arranged – 由内部起意而非外部安排的	自发的：动作的起因在人自己身上|自然产生的：过程没有外力推动也照样发生|一时冲动的：起意与动作之间没有筹划的间隔			
spoon	中古英语 spoon ← 古英语 spōn（木片、刨花）← 原始日耳曼语 *spēnuz（木片），本义是削出的一片薄木	a small shallow bowl on a handle, used to lift food or liquid to the mouth	勺/匙/一勺的量	He stirred the tea with a small spoon.|Add two spoons of sugar to the batter.	a handled scoop that carries a mouthful at a time – 带柄的小舀具，一次送一口	勺：带柄的浅凹面，用来舀|匙：同一器物的另一叫法，多指小号的|一勺的量：以这件器物的容量做计量单位			
sportsman	由英语 sports ＋ -man 复合而成；sport 一支 ← 古法语 desport（消遣、娱乐）← desporter（使消遣）	a person who takes part in sport, especially one who plays fair and takes defeat well	运动员/有体育精神的人	He was a fine sportsman who never argued with the referee.|True sportsmen shake hands after losing.	one who competes by the spirit of the game, not only to win – 按比赛精神参赛的人，不只为赢	运动员：以参赛为业或常参赛的人|有体育精神的人：重点落在守规矩、输得起这一面		/ˈspɔːtsmən/	
spot	中古英语 spot ← 中古荷兰语 spotte（斑点）；部分并入中古英语 splot ← 古英语 splott（斑块、一块地）	a small mark of different colour on a surface, or a particular place	斑点/地点/看出	There was a grease spot on his tie.|This is a good spot for a picnic.	a small patch that stands out from what surrounds it – 从周围底色里单独跳出来的一小块	斑点：颜色与底色不同的一小块|地点：把「一小块」从颜色挪到位置，指某一处|看出：能把这一小块从背景里挑出来，就是认出			
spouse	中古英语 spous ← 盎格鲁诺曼语 espus／古法语 espos ← 拉丁语 sponsus（新郎）← spondeō（立誓、许诺）	the person someone is married to	配偶/夫或妻	You may bring your spouse to the dinner.|Both spouses must sign the tax form.	the one bound to you by a marriage vow – 因婚誓与你结成一对的那个人	配偶：法律与礼俗上认定的另一半|夫或妻：同一关系里按性别落到具体一方			
spray	中古英语 sprayen ← 中古荷兰语 spraien（喷、洒）← 原始日耳曼语 *sprēwijaną（喷、洒）	liquid broken into many tiny drops that travel through the air	喷雾/飞沫/喷洒	A fine spray settled on the leaves.|Sea spray covered the windscreen.	liquid scattered into fine drops that carry through air – 被打散成细小液滴、能随空气散开的液体	喷雾：受压后打散成细滴的液体|飞沫：撞击或翻涌自然溅起的细滴|喷洒：把液体打散成细滴施出去这个动作			
spread	中古英语 spreden ← 古英语 sprǣdan（铺开、展开）← 原始日耳曼语 *spraidijaną（铺开）	to open out or move outward so as to cover more space	摊开/传播/涂抹	She spread the map across the table.|The rumour spread quickly through the town.	to extend outward from a centre until more area is covered – 从中心向外延展，覆盖更大面积	摊开：把折起来的东西向四周展平|传播：把「向外扩」从物挪到消息，越传越广|涂抹：把糊状物从一点向四周推开		/spred/	
spring	中古英语 springen ← 古英语 springan（跳、迸出、抽芽）← 原始日耳曼语 *springaną（迸发）	to move suddenly upward or outward, or the season when plants start growing again	跳起/泉/春天/弹簧	The cat sprang onto the windowsill.|Clear water springs from the rocks below.	a sudden burst outward from something held back – 被憋住的东西忽然向外迸出	跳起：腿先屈住再放开，人就迸出去|泉：地下水被岩层压着，找到缝就冒上来|春天：草木憋了一冬后一齐萌发的季节|弹簧：压下去后靠自身的力弹回原状			noun / verb
sprinkle	中古英语 sprenkelen ← 中古荷兰语 sprenkelen（撒），等同于 sprink ＋ 反复体后缀 -le	to scatter small drops or grains lightly over something	撒/洒/少量落下	Sprinkle a little salt over the potatoes.|Rain sprinkled the dusty path.	to let small bits fall a few at a time over a surface – 让细小颗粒零星落到表面上	撒：手指松开，颗粒零星落下|洒：同一动作用于液体，成细滴散落|少量落下：雨雪只落一点点也用这个词			
sprout	中古英语 sproute ← 中古荷兰语 sprute／中古低地德语 sprûte（嫩芽），同族于原始西日耳曼语 *spreutan	a young shoot just coming out of a seed or stem	芽/嫩苗/发芽	Bean sprouts appeared after only three days.|New sprouts pushed through the warm soil.	the first growth that pushes out of a seed – 从种子里最先顶出来的那一截生长	芽：顶开土面伸出的最初一段|嫩苗：芽再长一点、还没成株的样子|发芽：把这个过程当动作说			
spur	中古英语 spure ← 古英语 spora（马刺）← 原始日耳曼语 *spurô ← 原始印欧语 *sperH-（踢）	a pointed piece on a rider's heel used to urge a horse on, or anything that urges action	马刺/刺激/激励	He touched the horse with his spurs.|The prize spurred her to work harder.	a jab at the side that makes something move faster – 从旁一戳，使对方加快	马刺：靴跟上那根戳马腹的尖刺|刺激：把这一戳从马身上挪到人，指外来的推力|激励：同样是推一把，但落在正面鼓劲上			
spy	英语 spy ← 古法语 espier（窥探）← 法兰克语 *spehōn（看、瞧）；与德语 spähen 同族	a person who secretly collects information about an enemy or rival	间谍/密探/暗中侦察	The spy passed documents to a foreign agent.|He was caught spying on a rival firm.	one who watches from concealment to gather what is hidden – 藏起来看，为的是取得对方藏着的东西	间谍：受人派遣、隐蔽取情报的人|密探：同类角色，更侧重私下查访|暗中侦察：把这一身份当动作说			
square	中古英语 square ← 古法语 esquarre ← 通俗拉丁语 *exquadra ← 拉丁语 quadrus（四方的）	a shape with four equal sides and four right angles	正方形/广场/平方	Draw a square with sides of four centimetres.|We met in the town square at noon.	a four-sided figure whose sides and angles are all equal – 四边等长、四角相等的形	正方形：几何上的那个形状|广场：城中被建筑围成的一片方地|平方：边长自乘得出的面积，故称平方			
squeeze	英语 squize／squise（约 1600 年始见），更早词源不明；或为 quease（挤压）的变体，一说是拟声	to press something firmly from two sides	挤/榨出/勉强塞进	He squeezed the tube until the paste came out.|We squeezed four people into the back seat.	to press in from both sides until something gives way – 两边同时用力压，直到被压的东西让位	挤：两侧向内施力|榨出：压到里面的液体被逼出来|勉强塞进：把人或物压小一点，硬放进窄处			
squirrel	中古英语 squirel ← 盎格鲁诺曼语 esquirel／古法语 escurel ← 通俗拉丁语 *scūriolus ← 拉丁语 sciūrus ← 希腊语 skiouros（字面「影子尾巴」）	a small tree-dwelling rodent with a long bushy tail	松鼠/贮藏	A squirrel buried acorns beneath the oak.|He squirrels away part of every pay cheque.	a bushy-tailed climber that hoards food for later – 尾巴蓬松、会把食物藏起来留着的攀树小兽	松鼠：那种蓬尾攀树的小兽|贮藏：它把坚果一颗颗藏好的习性，移到人身上就是攒起来存着			
stab	中古英语 stabbe，可能是 stob／stubbe（尖木桩、尖刺）的变体 ← 古诺尔斯语 stobbi（木桩）；最早见于苏格兰英语	to push something pointed quickly into a surface or body	刺/戳/尝试	He stabbed the potato with a fork.|Let me have a stab at fixing the tap.	to drive a point in with one short hard thrust – 用尖端短促用力地扎进去	刺：尖端穿进去|戳：同一动作，力道轻些、不一定穿透|尝试：把「试着扎一下」说成试一把，故有此义			verb
stability	中古英语 stabilite ← 古法语 stabilité ← 拉丁语 stabilitas（稳固）← stabilis（站得稳的）← stare（站）	the quality of staying firm and returning to place after being disturbed	稳定/稳固/安定	The new beam improved the table's stability.|Political stability attracted foreign investors.	the ability to hold position instead of tipping or drifting – 受扰后仍守住原位、不倾不移的能力	稳定：受外力后不改变状态|稳固：侧重结构本身立得牢|安定：把这种不动摇移到局势与人心上			
stack	中古英语 stack ← 古诺尔斯语 stakkr（干草堆、堆）← 原始日耳曼语 *stakkaz（草垛）	a neat pile of things laid one on top of another	堆/摞/大量	A stack of plates stood beside the sink.|She has stacks of work to finish tonight.	things laid one on another so the pile rises straight – 一件件上下相压，垒成直立的一叠	堆：垒起来的一批东西|摞：强调上下对齐成列|大量：垒得越高就越多，故引申为很多			
stadium	借自拉丁语 stadium（长度单位、跑道）← 希腊语 stadion（赛道），原指奥林匹亚那条一 stadion 长的跑道	a large sports ground surrounded by rising rows of seats	体育场/运动场	Fifty thousand fans filled the stadium.|The new stadium opens next spring.	a field ringed by tiers of seats for watching contests – 四周围着层层看席、供人观赛的场地	体育场：重点在四周那圈升高的看席|运动场：重点在中间那片进行比赛的场地			
staff	中古英语 staf ← 古英语 stæf（杖、字母）← 原始日耳曼语 *stabaz（杖）；「一班人员」义 1702 年前后受德语 Stab（参谋部）影响而来	all the people employed to run an organization	员工/全体职员/棍杖	The hospital hired twenty new staff.|A shepherd leaned on his wooden staff.	the people or the pole an undertaking leans on – 一件事所倚靠的那根杖，或那班人	员工：机构靠他们运转，如同靠一根杖支着|全体职员：把这批人当一个整体说|棍杖：本义，手里那根可倚可撑的长木			
stage	中古英语 stage ← 古法语 estage（住处、位置、境况）← ester（站立、位于）← 拉丁语 stare（站）	a raised floor where performers appear before an audience	舞台/阶段/上演	She walked onto the stage and bowed.|The project is still at an early stage.	a raised level on which something is placed or takes place – 高出来的一层，事情在这一层上发生	舞台：观众面前那层台面|阶段：把「一层」看成过程中的一级，逐级推进|上演：把作品搬到那层台面上这个动作		/steɪdʒ/	
stagger	中古英语 stakeren ← 古诺尔斯语 stakra（推、踉跄）	to walk unsteadily as if about to fall, or to arrange things at uneven intervals	蹒跚/使震惊/错开安排	He staggered out of the bar and fell.|We stagger lunch breaks to keep the desk covered.	to lose the even footing or the even spacing – 失掉均匀的步子，或均匀的排列	蹒跚：重心左右偏移，脚步接不上|使震惊：像被撞得站不稳，人一时缓不过来|错开安排：把齐整的时间排成参差不齐的			verb
stain	中古英语 steinen ← 古诺尔斯语 steina（染色）← steinn（石、矿物颜料）← 原始日耳曼语 *stainaz（石）	a mark of colour that has soaked into a surface and will not easily come out	污点/着色剂/沾污	Red wine left a stain on the cloth.|He stained the shelves a dark walnut.	colour that has sunk in and become part of the surface – 渗进去、与表面合成一体的颜色	污点：不想要却渗进去的那片颜色|着色剂：故意让颜色渗进木料的那种液体|沾污：使颜色渗上去这个动作			
stair	中古英语 steire ← 古英语 stǣġer（阶、梯）← 原始日耳曼语 *staigriz ← 原始印欧语 *steygʰ-（迈步、攀登）	a single fixed step in a series leading from one level to another	楼梯/台阶	He sat on the bottom stair to wait.|Mind the loose stair near the top.	one step in a fixed series that climbs between levels – 两层之间成列固定的其中一级	楼梯：这一列阶合起来的通称|台阶：单看其中一级，脚一次踏上去的那一块			
