string	中古英语 string ← 古英语 strenġ（绳、弦）← 原始日耳曼语 *strangiz（绳）← 原始印欧语 *strengʰ-（绳索；收紧）	a thin cord used for tying things	细绳/弦/一串	He tied the parcel with string.|A string of small islands lay offshore.	a thin length that ties or links things together – 细长的一条，用来系住或把东西串起来	细绳：比线粗、比绳细的那种|弦：乐器上绷紧的那一条，同是细长绷直之物|一串：把东西沿一条线连起来，故称一串			
strip	英语 strip 或为 stripe 的变体，或 ← 中古低地德语 strippe，更早词源不明；动词「剥去」一支 ← 古英语 strīepan（掠夺）← 原始日耳曼语 *strēpōną	a long narrow piece of something, or to pull off an outer layer	条带/剥去/脱下	Cut the paper into narrow strips.|He stripped the old paint from the door.	a long narrow piece, or the taking of one off – 长而窄的一条，或把这样一层揭下来	条带：长而窄的一片|剥去：把贴在表面的一层揭掉|脱下：把身上穿着的一层去掉			noun / verb
stripe	中古英语 stripe ← 中古荷兰语／中古低地德语 strîpe（条纹）← 原始西日耳曼语 *strīpā ← 原始日耳曼语 *strīpô	a long band of colour different from the surface around it	条纹/斑纹	The shirt has blue and white stripes.|A tiger's stripes help it hide in grass.	a long band of colour running across a surface – 一道颜色不同的长带横过表面	条纹：人为织出或画上的长带|斑纹：动物身上天生的那种长带			
strive	英语 strive ← 古法语 estriver（争、竞）← 法兰克语 *strīban（使力、奋争）；与 strife 同支	to make great efforts to achieve something	努力/力争	She strove to finish before dark.|They strive for higher standards each year.	pushing hard against what stands in the way – 顶着阻力一直往前使劲	努力：持续使力去做|力争：使力的方向是争到某个结果			
stroke	中古英语 strok ← 古英语 strāc ← 原始日耳曼语 *straikaz（一击、一抹）← 原始印欧语 *streyg-（抚、擦、击）	a single movement of a brush, pen, or hand across a surface	一笔/击打/中风	He finished the painting with a few strokes.|Her father died after a stroke.	one continuous movement across a surface – 沿表面走过的一趟连续动作	一笔：笔在纸面走过一趟|击打：手或器物落到物上那一下|中风：脑内血管突然出事，像被猛击一下，故借此名			
stroll	借自德语 strollen，是瑞士德语 strolchen（游荡）的变体 ← Strolch（流浪汉）	to walk slowly for pleasure, without hurrying	散步/闲逛	They strolled along the river after supper.|We took a stroll through the market.	walking at an easy pace with nowhere to be – 不赶时间地慢慢走	散步：为舒展身心而慢走|闲逛：走着看着，没有固定去处			noun / verb
strong	中古英语 strong ← 古英语 strang（强的）← 原始西日耳曼语 *strang（严的、强的）← 原始印欧语 *strengʰ-（绷紧、硬）	having great power, or hard to break or move	强壮的/坚固的/浓的	He is strong enough to lift the crate alone.|She likes her coffee strong.	able to put out or take great force – 能发出大力，也能受住大力	强壮的：人身上力气大|坚固的：物体受力也不坏|浓的：味道或成分厚重，作用得强			
struggle	中古英语 struglen，更早词源不明；或为 *strokelen 的变体 ← 中古荷兰语 struyckelen（绊跌）← 原始日耳曼语 *strūkōną（发僵、跌绊）	to try hard to do something difficult, often while failing	挣扎/奋斗/难以应付	He struggled up the wet rock face.|Many families struggle to pay the rent.	straining against something that keeps pushing back – 顶着一直把你推回来的东西使劲	挣扎：身体使力想脱出困境|奋斗：把这份使力拉长成一段长期的努力|难以应付：使了力仍显吃力，进展有限			noun / verb
stubborn	中古英语 stiborne，更早词源不明；一说 ← 古英语 *stybbor ← stybb（树桩）＋ 形容词后缀 -or，取树桩钉在地里不动之意	refusing to change one's mind or give way	固执的/顽固的/难去除的	He is too stubborn to admit a mistake.|That stain proved stubborn despite three washes.	planted so firmly that nothing shifts it – 扎在那里，怎么推都不移	固执的：主意定死，不听劝|顽固的：抗拒改变的程度更重|难去除的：污渍或毛病赖着不走，同是不肯移			
student	中古英语 student ← 古法语 estudiant ← 拉丁语 studens，是 studeō（专心从事、钻研）的现在分词	a person who is learning at a school or university	学生/学员	She is a student at the local college.|The class has thirty students.	one whose present business is to learn – 眼下的本分就是学的那个人	学生：在学校里受教的人|学员：受训于某项课程或技能的人			
studio	借自意大利语 studio（书房、画室）← 拉丁语 studium（专心、钻研）；与 study 同源	a room where an artist works or where recordings are made	工作室/画室/演播室	The painter rented a studio near the harbour.|The band recorded in a small studio.	a room set aside for making something – 专腾出来做东西的那个房间	工作室：供人创作或制作的房间|画室：专用于绘画的那种|演播室：供录音录影的那种			
study	中古英语 studien ← 古法语 estudier ← 拉丁语 studium（热忱、专心钻研）	to spend time learning about a subject	学习/研究/书房	She studies medicine in Edinburgh.|He studied the map before setting out.	putting sustained attention on something to understand it – 把注意力长时间放在一事上，为的是弄懂	学习：为掌握而反复用心|研究：用心的程度更深，要弄出结论|书房：专供这件事用的房间			
stuff	中古英语 stuf ← 古法语 estofe（材料、装备）← estoffer（备齐、填塞）← 古高地德语 stoffōn ← 原始西日耳曼语 *stoppōn（堵塞、填满）	things of various kinds, or material of some sort	杂物/材料/填塞	Move your stuff off the table.|The chair is stuffed with horsehair.	whatever fills a space, named without naming it – 占着地方的那些，懒得一一点名就这么说	杂物：说不清也不必细分的那些物件|材料：做东西所用的料|填塞：把料塞进空处，本义正在此			
stumble	英语 stumble 终究出自原始日耳曼语 *stam-（绊住、结舌）；与德语 stumm（哑的）、荷兰语 stom（哑的）相关，与 stammer 同源	to catch the foot on something and almost fall	绊倒/失足/偶然碰上	He stumbled on a loose stone.|I stumbled across an old photo in the drawer.	the foot catching so the body loses its footing – 脚被挂住，身子一时失了重心	绊倒：脚被挂住而跌|失足：踩空或踏错这一下|偶然碰上：像走路被挂住一样，不期然遇到某物			verb
stun	中古英语 stonen ← 盎格鲁诺曼语 estoner（击昏、震住）← 晚期拉丁语 *stunāre ← 法兰克语 *stunōn（雷鸣、轰响）；另一说 ← 古英语 stunian（轰击）	to make someone unable to think or react, by a blow or by shock	使昏迷/使震惊	The blow stunned him for a moment.|The news stunned everyone in the office.	a jolt so hard that the mind stops working – 一下震得厉害，脑子一时不转	使昏迷：击打使人失去知觉|使震惊：消息使人一时反应不过来			
stupid	源自中古法语 stupide ← 拉丁语 stupidus（被击得发懵的）← stupeō（发懵、惊愕）← 原始印欧语 *(s)tewp-（顶、撞）	showing a lack of thought or good sense	愚蠢的/笨的	It was stupid to leave the door unlocked.|He felt stupid for asking twice.	acting as if the mind were knocked blank – 像被撞懵了一样不加思量	愚蠢的：判断上明显失当|笨的：反应慢、学得慢			
sturdy	中古英语 sturdy（悍勇的、倔强的）← 古法语 estourdi（被打晕的）← estourdir（打晕）← 通俗拉丁语 *exturdire，更早词源不明	strongly built and not easily damaged	结实的/坚固的/健壮的	The table stood on four sturdy legs.|She wore sturdy boots for the hike.	built solid enough to take rough use – 做得实，经得住折腾	结实的：物件用料足、不易坏|坚固的：结构受力也不变形|健壮的：人身板厚实、经得住			
