occasion	中古英语 occasioun ← 中古法语 occasion ← 古法语 occasiun ← 拉丁语 occāsiō（时机），由 ob-（向下）＋ cadere（落下）构成	a particular time when a certain event happens	场合/时机	We met again on a formal occasion last spring.|The occasion called for a short speech.	a moment that falls into place – 恰好落到眼前的那个时点	场合：按约定时间聚起来的那一场|时机：机会正好落下来的那一刻		
occasional	中古英语 occasyonal ← 中世纪拉丁语 occāsiōnālis 与古法语 ocasionel，由 occasion ＋ -al 构成	happening from time to time but not regularly	偶尔的/临时的	She pays occasional visits to her old school.|We had occasional showers throughout the afternoon.	happening only at scattered moments – 只在零星几个时点发生	偶尔的：时点稀疏地散落着，不成规律|临时的：只在个别场合才派上用场		
occupation	中古英语 occupacioun ← 中古法语 occupacion ← 拉丁语 occupātiō，源自 occupāre（占据），由 ob-（向）＋ capere（拿）构成	the work someone does regularly, or the holding of a place by force	职业/占领/占用	Please state your name and occupation below.|The occupation of the city lasted four years.	what fills a person time or a space – 把时间或空间占满的东西	职业：日常把时间占满的那件事|占领：把一处地方占住不放|占用：占着某个空间或时段		
occupy	中古英语 occupien ← 古法语 occuper ← 拉丁语 occupāre（取得、占据），由 ob-（向）＋ capere（拿）构成	to fill a space or a period of time, or to take control of a place	占据/使忙碌	Boxes occupy most of the small room.|The children occupied themselves with a puzzle.	to take and hold a space – 拿住并占着一处不放	占据：把空间实实地占满|使忙碌：把某人的时间占满		
off	古英语 of／æf（从、离开）← 原始西日耳曼语 *ab ← 原始日耳曼语 *ab，与 of 同源后分化	away from a place, or no longer working or connected	离开/关闭/不工作	He drove off before we could wave.|Please switch the lights off when leaving.	away from or detached from something – 从某物上移开、断开	离开：从原处移开|关闭：电路断开不再接通|不工作：不在运转状态		
office	中古英语 office ← 古法语 office ← 拉丁语 officium（职责、职位），由 opus（工作）＋ facere（做）缩合而成	a room or building where people do administrative work	办公室/职务	She works in a small office downtown.|He held office for almost ten years.	a place or post carrying assigned duties – 承担职责的处所或位置	办公室：处理事务的那间屋子|职务：所承担的那份职责		
officer	中古英语 officer ← 盎格鲁诺曼语 officer ← 晚期拉丁语 officiarius，源自 officium（职务）	a person holding a position of authority in an organization	官员/军官	A police officer checked our travel documents.|The officer gave orders to his unit.	a person who holds an official post – 担着公职的人	官员：在机构里担公职的人|军官：军中担指挥职的人		
official	中古英语 official ← 古法语 official ← 拉丁语 officiālis，源自 officium（职责）	coming from an authority, or a person holding public office	官方的/官员	The official report was published last week.|A senior official answered questions from reporters.	backed by or belonging to authority – 由权力机构认可或所属的	官方的：经权力机构认可发布的|官员：机构里担公职的人		
offspring	古英语 ofspring（后代），由 of（自）＋ spring（涌出）构成	the young produced by a person or animal	后代/子女	The pair raised three offspring that summer.|Many animals protect their offspring fiercely.	what springs off from a parent – 从亲代分出来的下一代	后代：从亲代分出的下一代|子女：人所生的后代		
only	古英语 ānlīċ／ǣnlīċ（唯一的）← 原始日耳曼语 *ainalīkaz，由 one ＋ -ly 构成	no more than this, or with nothing else besides	仅仅/唯一的	She was the only person still waiting.|It costs only a few pounds now.	standing alone with nothing beside – 旁边没有别的，只此一个	仅仅：数量或程度上不超过这个|唯一的：同类里只剩这一个		
opera	借自意大利语 opera ← 拉丁语 opera（工作、作品），是 opus 的复数形式	a play in which the story is mostly sung	歌剧	They watched an Italian opera last night.|The opera runs for nearly four hours.	a staged work carried by singing – 靠歌唱撑起来的舞台作品			
opportunity	由 opportune ＋ -ity 构成 ← 中古法语 opportunité ← 拉丁语 opportūnitās（合时宜）	a set of conditions that makes something possible	机会	This job offers a real opportunity to learn.|He missed the opportunity to speak up.	a favourable opening that appears – 出现在眼前的有利缺口			
optical	由 optic ＋ -al 构成；optic 一支 ← 中世纪拉丁语 opticus ← 希腊语 optikos（与看有关的）	relating to sight or to the behaviour of light	视觉的/光学的	The optical illusion fooled almost everyone here.|Optical fibres carry signals over long distances.	to do with seeing and with light – 与看和光有关的	视觉的：与眼睛所见有关|光学的：与光的性质及器件有关		
optimistic	由 optimist ＋ -ic 构成；optimist ← 法语 optimiste，由拉丁语 optimum（最好的）造出	expecting good things to happen	乐观的	She stayed optimistic despite the bad news.|Forecasters remain optimistic about the coming harvest.	expecting the better outcome – 倾向于认定会有好结果			
optimum	借自新拉丁语，为拉丁语 optimus（最好的）的中性形式	the most favourable point or condition for something	最佳的/最佳状态	The plants grow best at optimum temperature.|Engineers searched for the optimum between cost and speed.	the best available point in a range – 一段范围里最好的那一点	最佳的：在可选范围里最好的|最佳状态：正处在那个最好点上的情形		
orchestra	借自拉丁语 orchēstra（古希腊剧场中歌队表演的场地）	a large group of musicians playing together	管弦乐队	The orchestra tuned up before the concert.|She plays cello in the city orchestra.	a large body of instrumentalists – 一大群合奏的器乐手			
other	古英语 ōþer（其他的、第二个）← 原始日耳曼语 *anþeraz ← 原始印欧语 *h₂énteros	different from the one already mentioned	其他的/另一个	The other students had already gone home.|Try the other door on your left.	not this one but a different one – 不是这个，是别的那个	其他的：除此之外的那些|另一个：两者之中不是这个的那个		
ourselves	由 our ＋ selves 构成	used to refer back to the speakers as a group	我们自己	We finished the whole job by ourselves.|We should not blame ourselves for this.	the speakers referring back to themselves – 说话人一方指回自身			
out	古英语 ūt（向外）与 ūte（在外）← 原始日耳曼语 *ūt／*ūtai ← 原始印欧语 *úd（向上、离开）	away from the inside of a place	向外/在外	She walked out without saying a word.|The children are out in the garden.	moving or being beyond an enclosure – 从围合处出去或处在其外	向外：从里往外移动|在外：位置处在围合之外		
outfit	早期 out-fit 的变体，来自动词短语 fit out（装配齐备）	a set of clothes worn together, or to supply with equipment	装备/全套服装	She wore a bright outfit to the party.|They outfitted the boat for a long voyage.	a complete set fitted out for use – 配齐了备用的一整套	装备：为某用途配齐的一套器具|全套服装：成套穿在身上的衣物		
outing	由 out ＋ -ing 构成；古英语有同义的 yting（外出、行程）	a short trip taken for pleasure	短途出游	The class went on an outing to the coast.|Rain spoiled our Sunday outing completely.	a brief trip out and back – 出去一趟就回的短程行程			
outlet	中古英语 outlete，源自 outleten（放出），由 out- ＋ let 构成	an opening that lets something out, or a shop selling one maker goods	出口/专卖店	Water escaped through a narrow outlet below.|The factory outlet sells shoes at lower prices.	a point where something is let out – 让东西放出去的那个口	出口：让水、气、电放出去的口|专卖店：厂家把货直接放出去的店		
outline	由 out ＋ line 复合而成	the line marking the outer edge of something, or a short general account	轮廓/概述	He drew the outline of a mountain.|She outlined her plan in a few minutes.	the outer line with the inside left empty – 只有外框、内部未填的那条线	轮廓：物体外缘那条线|概述：只给框架不填细节的说明		
outlook	由 out- ＋ look 复合而成	the way someone views things, or how something is likely to develop	观点/前景	His outlook on life changed after the trip.|The outlook for small farms remains uncertain.	what one sees looking outward – 向外看出去所见的景象	观点：向外看事情所取的角度|前景：往前看到的可能情形		/ˈaʊtlʊk/
output	由 out ＋ put 复合而成，是动词短语 put out 的名词化	the amount something produces, or to produce and send out	产出/输出	The factory doubled its output last year.|The program outputs a short summary file.	what is put out from a process – 从一道过程里送出来的东西	产出：一段时间里生产出的量|输出：把结果送出去这个动作		
outrage	中古英语 outrage ← 古法语 outrage／oultrage（过分）← 俗拉丁语 *ultrāticum ← 拉丁语 ultrā（超出）；后被重新理解为 out- ＋ rage，读音随之改变，但两者本无词源关系	great anger at something felt to be very wrong	愤怒/激怒	The decision caused outrage among local residents.|His remarks outraged almost everyone present.	anger at something that goes too far – 对越过界限之事的强烈愤怒	愤怒：因不公之事而起的强烈怒气|激怒：使人生出这种怒气		
outset	由 out ＋ set 构成，取代了更早的 outsetting	the very beginning of something	开始	He knew the risks from the outset.|State your aim clearly at the outset.	the point of setting out – 动身出发的那一点			
outside	由 out ＋ side 复合而成	beyond the limits of a place, or the outer part of something	在外面/外部	The children played outside until it grew dark.|We painted the outside of the shed.	the region beyond a boundary – 界线之外的那一片	在外面：位置落在界线以外|外部：物体朝外的那一面		/ˌaʊtˈsaɪd/
outstanding	源自 outstand，由 out ＋ standing 构成	clearly better than others, or still not settled	杰出的/未解决的	She gave an outstanding performance that evening.|Two invoices are still outstanding this month.	standing out from the level around it – 从周围齐平处凸出来	杰出的：明显高出同侧水平|未解决的：仍悬在外没有了结		
over	古英语 ofer ← 原始西日耳曼语 *obar ← 原始日耳曼语 *uber ← 原始印欧语 *upér（在上、越过）	above or across something, or brought to an end	在上方/结束	A bird flew over the quiet lake.|The meeting was over by four today.	above and across to the far side – 在上方并越到另一侧	在上方：位置高于某物|结束：越过终点、不再继续		
