war	中古英语 werre ← 晚期古英语 werre ← 诺曼法语 werre（古法语 guerre）← 中世纪拉丁语 werra ← 法兰克语 *werru（混乱、争执）← 原始印欧语 *wers-（搅乱）；逐步取代了古英语 beadu、hild、wīġ 等本土词	armed fighting between countries or groups	战争/交战	The war lasted four years.|Two neighbouring states are at war.	organized armed fighting between whole sides – 整方与整方之间有组织的武力相攻	战争：国家或集团间的武力冲突|交战：正在打这件事的状态			
warehouse	由 ware（货物）＋ house（屋）复合而成；ware 一支 ← 古英语 waru（货物）← 原始日耳曼语 *warō	a large building where goods are stored	货栈/库房	The goods sit in a warehouse near the docks.|They converted the warehouse into flats.	a large building kept for holding goods until needed – 专用来存货、等要用时再取的大房子	货栈：存放待售货物的那种房子|库房：泛指用于储存的屋室			
warfare	由 war ＋ fare（行、往）复合而成，或截自中古英语 werre-faringe（出征）	the activity of fighting a war, or the methods used	战事/作战方式	Trench warfare dominated that conflict.|They turned to economic warfare instead.	the carrying on of fighting, and how it is carried on – 打仗这件事的进行，以及怎么打	战事：正在进行的战斗活动|作战方式：所采用的那套打法			
warm	中古英语 warm ← 古英语 wearm ← 原始日耳曼语 *warmaz ← 原始印欧语 *gʷʰer-（热）；与希腊语 thermos 同源	at a pleasant temperature between cool and hot	暖的/温暖的/热情的	Keep the milk warm, not hot.|She gave us a warm welcome.	at the temperature that feels comfortable, short of hot – 温度舒适，还没到烫	暖的：温度适中偏高|温暖的：同义，多形容天气或环境|热情的：把这份暖用到待人的态度上			
warmth	中古英语 warmth ← 古英语 *wiermþu ← 原始西日耳曼语 *warmiþu，即 warm ＋ 抽象名词后缀 -th	the state of being warm, or friendly feeling	暖意/温情	The warmth of the fire filled the room.|He spoke with real warmth about her.	the comfortable heat something gives off – 一件东西放出的那份舒适热度	暖意：可感到的那份温热|温情：把这份暖用到人与人之间的情意上			
warn	中古英语 warnen ← 古英语 warnian（留意、告诫）← 原始日耳曼语 *warnōną ← 原始印欧语 *wer-（察觉、留心）	to tell someone about a danger in advance	警告/提醒	He warned us about the loose step.|Signs warn drivers of falling rocks.	telling someone in advance so they can take care – 事先告知，让对方留心	警告：告知危险，语气重|提醒：把该留意的事点给对方			
warrant	中古英语 warant（庇护、保障）← 盎格鲁诺曼语 warrant ← 古法语 garant（保证、许可）← 法兰克语 *warand，是 *warjan（挡开、阻止）的现在分词	an official document giving legal authority, or good reason for something	授权令/正当理由	Police obtained a search warrant.|Her behaviour warrants an inquiry.	an official backing that makes an action allowable – 官方给的那份靠背，使某个动作站得住	授权令：官方签发、许可行事的那份文件|正当理由：使某事说得过去的那个依据			noun / verb
wash	中古英语 wasshen ← 古英语 wascan（洗）← 原始西日耳曼语 *waskan ← 原始日耳曼语 *waskaną（洗、弄湿）← 原始印欧语 *wed-（水、湿）	to clean something with water	洗/清洗/冲刷	Wash your hands before eating.|Waves washed the sand away.	cleaning by letting water carry the dirt off – 让水把脏东西带走，从而变干净	洗：用水去污|清洗：更彻底地洗一遍|冲刷：水流不断带走表面之物			
waste	中古英语 wast ← 诺曼法语 wast ← 法兰克语 *wōstī（荒芜）← 原始印欧语 *h₁weh₂-（空、荒）	to use something without good purpose, or unwanted material	浪费/废弃物/荒地	Do not waste water in summer.|The factory dumps its waste in the river.	letting something go without being put to use – 让东西白白流失，没用到该用处	浪费：把可用的用掉却没起作用|废弃物：用剩下、不再要的那些|荒地：闲着不长东西的那片地			noun / verb
watch	名词 ← 中古英语 wacche ← 古英语 wæċċe（守夜）；动词 ← 中古英语 wacchen ← 古英语 wæċċan ← 原始日耳曼语 *wakjaną（唤醒、守望）	to look at something for a time, or a small clock worn on the wrist	注视/手表/看守	They watched the boats leave harbour.|My watch is two minutes slow.	keeping the eyes on something over a stretch of time – 眼睛在一段时间里一直盯着	注视：持续看着某处|手表：戴在腕上报时的那件小钟，本义与守夜同支|看守：为防出事而盯着			noun / verb
