R	tekton	techn/tekhn/tecton	希腊语 tekton（木匠、动手造东西的人）与 tekhnē（练出来的手艺、门道）同出一源；tekhnikos 是「合手艺的」，arkhitekton 是「匠人之长」。拉丁语 texere（编织）虽出自更古的同一支，两边在希腊语与拉丁语里已分化，库中不合并	a hand that works material into a made thing / 一双把料做成器物的手	木匠拿凿子在梁上开出一个方口，木头本来是整根的，出来时正好扣住另一根	to build with skilled hands, to craft	craft	匠人手艺	domain-make
R	dividere	divid/divis/devis	拉丁语 dividere（切成几份、分开），过去分词 divisus，动名词 dividendum 是「该分下去的那一份」；通俗拉丁语 divisare 经古法语给出 devise 一支。其中的 -videre 表「劈开」，与表看的 videre 不是同一个词，勿混	one whole cut into separate shares / 一整块切开成分得开的几份	整块东西划一刀成两份，再往下分；难办的事也这么一段段切开，就有了下手处	to split into parts, to divide up	split	切成几份	domain-shape
R	stinguere	stingu/stinct	拉丁语 stinguere（用尖头戳、戳灭），与 instigare（催逼）同支；exstinguere 是戳到火星不剩，distinguere 是逐个戳上记号使分得开，instinguere 是从里头戳一下把人催动	to prick with a point, and so to mark off or put out / 用尖头戳，因而戳出记号或戳灭	针尖往下一戳：戳出记号便分得清，火苗上一戳只剩焦痕，心上那一戳是天生的	to prick, to mark off or put out by pricking	prick	针尖一戳	domain-perceive
R	minere	minent/mont/moun/menac	拉丁语 -minere（凸出、探出来），只见于复合词 eminere（高出四周）与 prominere（朝前探出）；与 mons（属格 montis，山）同一个词干，minae（城墙上探出的雉堞）与 minari（威吓）亦出此支——探在头顶的东西自然压人	standing out above the level around it / 从四周的平面上鼓出来、比周围高	平地上鼓起一大块，远远就看见它高过四周；走到跟前抬头，它正压在头顶上	to jut out, to stand above the surroundings	jut	高出一截	domain-shape
R	demos	demos/democ/epidem	希腊语 demos（一个地方的民众、一区之民）；demokratia 是 demos 加 kratos（权力）——事情由这一片人说了算；epidemia 是 epi-（落在其上）加 demos，指落到一地之人头上的东西	the people of one place taken together / 一个地方的人合起来算	一个区的人都聚到院子里，抬手数过就算定了；一场病也是从这户挨到那户	the people of a district, the common people	people	一地之人	domain-perceive
W	technique	noun	/tekˈniːk/	tekton	techn（tekhnē 练出来的门道）+ -ique（名词后缀）→ 把这件事做成的那一套固定做法	法语 technique ← 希腊语 tekhnikos（合手艺的）← tekhnē（练出来的门道）	a particular way of doing something skilfully	同一把刀，他握的角度和下刀的次序每回都不变，切出来每片一样厚	技巧/技法/手法	She has perfect technique in the water.|He learned the technique from an old carpenter.	a settled way of getting the thing made – 把东西做成的那一套固定做法	技巧：手上练出来、每回都能做得一样准的那份本事|技法：一门手艺里定下来的步骤和讲究|手法：同一套做法用到不算手艺的事情上	techn（练出的门道）+ -ique → 把这件事做成的那一套固定动作	
W	technical	adjective	/ˈteknɪkl/	tekton	techn（tekhnē 门道）+ -ical（…的）→ 属于某一行门道之内的	希腊语 tekhnikos（合手艺的）← tekhnē（练出来的门道），英语加 -al 构成形容词	relating to the practical skills or knowledge of a particular subject	说明书翻到第三页全是参数和接线图，外行看两行就放下了	技术的/专业的	The report is full of technical terms.|We hit a technical problem with the software.	belonging inside the know-how of a trade – 属于某一行门道之内的	技术的：与那一行具体门道有关的|专业的：只有行内人看得懂，外人插不上话	techn（门道）+ -ical → 属于某一行门道之内，外行进不来	
W	technology	noun	/tekˈnɒlədʒi/	tekton	techn（tekhnē 门道）+ -logy（成体系的学问）→ 把手上门道整理成一整套学问和器具	希腊语 tekhnologia（把手艺讲成条理）← tekhnē（练出来的门道）+ -logia（成体系的学问）	the use of scientific knowledge to make equipment and methods for practical work	一屋子设备连成一条线，按下按钮，原先要十个人干的活自己走完了	技术/科技/工艺	New technology has changed how we work.|The factory uses the latest technology.	craft know-how worked up into a system – 把手上门道整理成一整套学问和器具	技术：整理成体系、照着就能用的那套门道|科技：这套门道与科学知识合在一处说|工艺：一处生产里定下来的那串具体做法	techn（门道）+ -logy（成体系的学问）→ 手上门道理成一整套学问和器具	
W	technician	noun	/tekˈnɪʃn/	tekton	techn（tekhnē 门道）+ -ian（做这行的人）→ 手里握着那一行具体门道的人	英语 technic ← 希腊语 tekhnikos（合手艺的）← tekhnē（练出来的门道），加 -ian 表做这行的人	someone trained to work with particular equipment or in a particular field	机器停了，来的人蹲下拧开面板，摸两下就说出该换哪个件	技术员/技师	A technician came to fix the printer.|She works as a lab technician.	the person who holds the trade know-how – 手里握着那一行具体门道的人	技术员：真正上手干这行活的那个人|技师：同一种人，偏说他资历深、手更熟	techn（门道）+ -ian（做这行的人）→ 手里握着那一行具体门道的人	
W	divide	verb	/dɪˈvaɪd/	dividere	divid（dividere 切成几份）→ 把整块划开成几份	拉丁语 dividere（切成几份、分开），过去分词 divisus，经中古英语入现代英语	to separate something into parts, or to share something out	他拿刀在饼上划了三道，四个人各拿走一块	分开/划分/分配/除以	We divided the cake into eight pieces.|The river divides the town in two.	cutting one whole into separate shares – 把一整块切成分得开的几份	分开：一样东西成了两样或几样|划分：在整块上定出界线，各归各处|分配：把切下来的几份发到各人手上|除以：算术里把一个数照份切匀	divid（切开）→ 把整块划成几份，各归各处	divide sth into sth —— 把某物分成若干份|divide sth between/among sb —— 在若干人之间分派某物|be divided on sth —— 在某事上各执一边
W	individual	adjective / noun	/ˌɪndɪˈvɪdʒuəl/	dividere	in-（不）+ dividu（dividere 切开）+ -al → 再切下去就没有了的那一个	拉丁语 individuus（切不下去的）：in-（不）+ dividere（切成几份）；英语后转指单独的一个人	single and separate; also a single person	队伍散开后，每人手里一张写着自己名字的表，谁也不能替谁填	个人的/单独的/个体	Each individual receives a separate copy.|We looked at individual cases one by one.	the one that cannot be cut any further – 再切下去就没有了的那一个	个人的：只属于这一个人，不属于那一群|单独的：一个一个地算，不整批地算|个体：切到不能再切的那一个本身	in-（不）+ dividu（切开）+ -al → 再切下去就没有了的那一个	
W	dividend	noun	/ˈdɪvɪdend/	dividere	divid（dividere 切成几份）+ -end（该被…的）→ 该分下去的那一笔	拉丁语 dividendum（该分下去之物），dividere（切成几份）的动名词	a part of a company profits paid to the people who own its shares	年底结账，账上多出来的钱按各人持股照比例打进户头	股息/红利/被除数	The company paid a small dividend this year.|Shareholders expect a higher dividend next quarter.	the sum marked out to be divided up – 划出来准备分下去的那一笔	股息：按持股定期分到手的那一份|红利：赚得多时额外再分出来的那一笔|被除数：算术里等着被切匀的那个数	divid（切开）+ -end（该被…的）→ 划出来该分下去的那一笔	
W	extinguish	verb	/ɪkˈstɪŋɡwɪʃ/	stinguere	ex-（出、尽）+ stingu（stinguere 用尖头戳）+ -ish → 一下下戳到一点火星不剩	拉丁语 exstinguere（戳到不剩）：ex-（出、尽）+ stinguere（用尖头戳、戳灭），英语按法语式加 -ish	to make a fire or light stop burning, or to end something completely	他用湿布往炭上一压，红点先暗下一片，抬手时只剩一缕白气	扑灭/熄灭/消灭	Firefighters extinguished the blaze within an hour.|She extinguished the candle before leaving.	pricked down until no spark is left – 戳到一点火星也不剩	扑灭：正烧着的火被压下去|熄灭：灯烛上那一点亮被按掉|消灭：念头或指望也这样被按到不剩	ex-（尽）+ stingu（戳）→ 一下下戳到一点火星也不剩	
W	instinct	noun	/ˈɪnstɪŋkt/	stinguere	in-（在里头）+ stinct（stinguere 戳）→ 里头戳的那一下，不等想就动了	拉丁语 instinctus（受催动），instinguere 的过去分词：in-（在里头）+ stinguere（用尖头戳、催逼）	a natural tendency to behave in a certain way without having to learn it	杯子刚从桌沿滑下去，手已经伸出去接住了，脑子还没转过来	本能/天性/直觉	Birds build nests by instinct alone.|Her first instinct was to run away.	a prick from inside that moves you before thought – 里头戳的那一下，比想还快	本能：不用学就会的那种反应|天性：生下来就扎在里头的那种脾性|直觉：不经推理、当下就冒出来的那个判断	in-（在里头）+ stinct（戳）→ 里头戳的那一下，比想还快	by instinct —— 出于本能地，不经思考|have an instinct for sth —— 对某事有天生的感觉|sb's first instinct is to do sth —— 某人的第一反应是做某事
W	extinct	adjective	/ɪkˈstɪŋkt/	stinguere	ex-（出、尽）+ stinct（stinguere 戳）→ 被戳尽了，一支再也接不下去	拉丁语 exstinctus，exstinguere（戳到不剩）的过去分词：ex-（尽）+ stinguere（用尖头戳、戳灭）	no longer existing as a species, or no longer active	馆里玻璃柜摆着一副骨架，标签写着最后一次见到它是哪一年	灭绝的/绝种的/不再活动的	That bird became extinct fifty years ago.|The volcano has been extinct for centuries.	pricked out with nothing left burning – 戳尽了，一支接不下去	灭绝的：一支活物到某一年就断了|绝种的：同一件事，偏说没有后代留下|不再活动的：火山那样，里头那点火早已按掉	ex-（尽）+ stinct（戳）→ 戳尽了，那一支再也接不下去	become extinct —— 灭绝、绝种，最常用|an extinct volcano —— 死火山，固定说法
