twice	英语 twise ← 中古英语 twies ← 古英语 twīġes（两次），由 twīwa（两次）＋ 副词属格词尾 -es 构成	on two occasions, or two times as much	两回/两倍	I have read it twice already.|This box weighs twice as much.	counted through two times rather than once – 数过两遍，不是一遍	两回：发生或做了两次|两倍：数量上是原来的二倍			
twin	中古英语 twinne ← 古英语 ġetwinn（孪生的）← 原始日耳曼语 *twinaz（成双的）← 原始印欧语 *dwóh₁（二）	one of two children born at the same birth, or forming a matching pair	孪生之一/成对的	Her twin lives in Australia.|The hotel has twin beds.	one of two that came into being together and match – 同时产生、彼此相配的那两个中的一个	孪生之一：同胎所生的两人中的一个|成对的：两件相同、配成一套的			noun / adjective
twinkle	中古英语 twinclen ← 古英语 twinclian（闪动），即 twink（眨、闪）＋ 反复体后缀 -le；与德语 zwinkern（眨眼）同族	to shine with a light that keeps changing	闪耀/明灭/眼中放光	Stars twinkled above the ridge.|Her eyes twinkled at the joke.	a light that keeps going bright and dim by turns – 光一亮一暗地轮着来	闪耀：光时强时弱地发出|明灭：亮与暗交替这个过程|眼中放光：把这种光用到人的眼神上			
twist	中古英语 twist ← 古英语 *twist（见于复合词）← 原始日耳曼语 *twistaz，由 *twi-（二、双）派生；与 twine、between 同支	to turn something around itself, or an unexpected change	拧/扭转/转折	She twisted the cloth to wring it out.|The story took an odd twist.	turning something around its own length – 让一件东西绕着自身转	拧：两端反向转动|扭转：把方向或局面转过来|转折：事情走向忽然拐了一下			noun / verb
two	中古英语 two ← 古英语 twā（twēġen 的阴性与中性形）← 原始日耳曼语 *twai ← 原始印欧语 *dwóh₁（二）	the number that comes after one	二/两	Two cups stood side by side.|He waited two hours for the bus.	the count reached by adding one to one – 一再加一得出的那个数	二：作为数字本身|两：与量词连用时的说法			
typewriter	由 type（打字）＋ writer（书写器）复合而成；type 一支 ← 拉丁语 typus ← 希腊语 typos（打出的印记）	a machine with keys that prints letters onto paper	打字机	She learned to use a typewriter at school.|An old typewriter sat on the desk.	a machine that stamps each letter onto paper as a key is struck – 按一个键就把一个字母压到纸上的机器			/ˈtaɪpraɪtə/	
typhoon	1588 年始见英语（作 Touffon），经葡萄牙语 tufão 传入 ← 阿拉伯语 tufan（大风暴）；拼写受希腊语 typhon（旋风）影响	a violent tropical storm in the western Pacific	台风	The typhoon shut the port for days.|Typhoon season begins in July.	a huge spinning storm that forms over warm western Pacific seas – 西太平洋暖海面上生成的巨大旋转风暴				
ugly	中古英语 ugly，借自古诺尔斯语 uggligr（可怕的、样子骇人的）← uggr（惧、忧）；14 世纪末词义由「可怕」转为「难看」	unpleasant to look at	丑的/难看的/难堪的	The building is genuinely ugly.|The argument turned ugly within minutes.	unpleasant enough to look at that one turns away – 看着不舒服，让人想避开	丑的：形貌不好看|难看的：同义，语气缓些|难堪的：把这种不适用到场面上，指局面变糟			
ultimate	源自中世纪拉丁语 ultimatus（最末的），是 ultimō（终结）的完成被动分词 ← ultimus（最后的）	final, or most fundamental	最终的/根本的	That was his ultimate offer.|Safety is the ultimate concern.	the last one, beyond which there is no further – 最后这一个，再往后没有了	最终的：排在最末、不再有下一个|根本的：追到底层、再往下无可追的			
ultraviolet	由 ultra-（超出）＋ violet（紫）构成；violet 一支 ← 古法语 violete ← 拉丁语 viola（紫罗兰）	of the invisible light just beyond the violet end of the spectrum	紫外的	Ultraviolet light damages the skin.|The note glowed under ultraviolet lamps.	light lying just past violet, where the eye can no longer follow – 排在紫之外、眼睛已跟不上的那段光				
umbrella	借自意大利语 ombrella（遮阳伞）← 晚期拉丁语 umbrella（受 umbra「阴影」影响）← 拉丁语 umbella，是 umbra 的指小形	a folding frame covered in cloth, held up against rain	雨伞/保护伞	Take an umbrella; it looks like rain.|The scheme acts as an umbrella for smaller charities.	a small canopy raised overhead to keep rain off – 撑在头上遮雨的那片小顶棚	雨伞：撑开遮雨的那件器物|保护伞：把这层遮护用到组织或势力上		/ʌmˈbrelə/	
uncle	中古英语 uncle ← 盎格鲁诺曼语 uncle／古法语 oncle ← 拉丁语 avunculus（舅父，字面「小外祖父」）；取代了古英语 ēam 与 fædera	the brother of one's father or mother	叔伯/舅舅	My uncle taught me to fish.|She stayed with her uncle that summer.	a parent's brother, one generation up and to the side – 父母的兄弟，长一辈而不在直系上	叔伯：父亲的兄弟|舅舅：母亲的兄弟			
under	中古英语 under ← 古英语 under ← 原始日耳曼语 *under ← 原始印欧语 *(H)n̥dʰér（在下）与 *h₁entér（在内）合流	in or to a position below something	在…下面/低于/在…之中	The cat slept under the table.|Children under six pay nothing.	at a level below the thing named – 位置或程度低于所说的那个	在…下面：空间上处于其下|低于：数量或年龄不到那个数|在…之中：处在某种状态或管辖之下			
underestimate	由 under-（不足）＋ estimate（估计）构成；estimate 一支 ← 拉丁语 aestimare（估价）	to think something is smaller or weaker than it really is	低估/看轻	Do not underestimate the cost of repairs.|They underestimated their opponents badly.	setting the figure lower than the thing actually is – 把数量或分量估得比实际低	低估：估得不足|看轻：把对方的能力或分量想少了		/ˌʌndərˈestɪmeɪt/	
undergo	中古英语 undergon ← 古英语 undergān（经历、受），即 under-（在下）＋ go（走）	to experience something, especially something unpleasant	经历/受到	She underwent surgery last week.|The building underwent major repairs.	passing through something done to you – 从某件加在自己身上的事里过一遍	经历：从头到尾经过某个过程|受到：被动地承受某种处置			
underground	中古英语 undergrounde，即 under ＋ ground；ground 一支 ← 古英语 grund（地面、底）← 原始日耳曼语 *grunduz	below the surface of the earth, or kept secret	地下的/秘密的	An underground stream feeds the well.|They ran an underground newspaper.	lying below the surface, out of sight – 处在地面以下，看不见	地下的：位置在地表之下|秘密的：像埋在地下一样不让人知道			
underlie	中古英语 underlien ← 古英语 underliċġan（在下、隶属），即 under ＋ lie	to lie beneath, or to form the basis of something	位于…之下/构成…的基础	Older rock underlies the whole valley.|Distrust underlies the whole dispute.	lying below and holding up what shows on top – 躺在下面，托住露在上面的那一层	位于…之下：实际处在其下方|构成…的基础：看不见却支着上面那件事			
