W	flexible	adjective	/ˈfleksəbl/			古法语 flexible ← 拉丁语 flexibilis ← flectere（弯折）；与「读、拾取」那一支只是拼写相含，不同源	able to bend easily, or able to change to suit new conditions	一根细钢丝，两头一捏就绕成圆圈，松手又弹回原样	灵活的/易弯曲的/可变通的	Rubber is more flexible than glass.|We need a more flexible schedule.	bending without breaking – 弯得过去而不折断	易弯曲的：本义，受力就顺着弯，不折断|灵活的：人和安排也能这样顺着情况改|可变通的：规定留有余地，不是一条道走到底		
W	force	noun / verb	/fɔːs/	fortis	forc（fortis 强壮、有力）→ 使对面松动的那股劲；把这股劲压在人身上 → 逼着他动	古法语 force ← 通俗拉丁语 *fortia ← 拉丁语 fortis（强壮的）	strength or energy used to move something, or to make someone act unwillingly	两个人肩膀顶住门板往里推，门轴吱一声，整扇板弹开	力量/武力/强迫/部队	The force of the wind broke the window.|They forced him to sign the paper.	strength that makes something give way – 让对面松动的那股劲	力量：推得动东西的那股劲本身|武力：这股劲用在人身上，带打的意思|强迫：把劲压过去，对方不情愿也得动|部队：专门备着这股劲的一群人，air force 即空中那一支		
W	foundation	noun	/faʊnˈdeɪʃn/			古法语 fondacion ← 拉丁语 fundatio ← fundare（奠基），由名词 fundus（底、地基）派生；fundus 与 fundere（倒出）是两个不同的拉丁词，故不并入库中 fundere 那一族	the lowest supporting part of a building, or the basis on which something rests	楼还没起，先在坑里灌出一整片平实的底盘，上头的分量全压在它身上	地基/基础/根据/基金会	The foundation of the house is solid concrete.|His argument has no factual foundation.	the bottom that everything above rests on – 上面全部分量落在的那个底	地基：本义，垫在楼下面的那一层|基础：说法、学问也有这样一个垫底的部分|根据：话站不站得住，看底下垫的是什么|基金会：一笔钱垫在底下长期供着一桩事		
W	fund	noun / verb	/fʌnd/			拉丁语 fundus（底、地基、田产），动词 fundare 由它派生；fundus 与 fundere（倒出）是两个不同的拉丁词，本词不属库中 fundere 那一族	a sum of money kept for a particular purpose, or to provide money for something	账上那笔钱单独存成一堆，谁动都得先说明用处，用一笔就少一笔	资金/基金/储备/提供资金	The school set up a fund for books.|The government funds this research.	a store set aside at the bottom – 垫在底下备着的那一笔	资金：办事垫在底下的那笔钱|基金：这笔钱圈出来专供一桩事，不挪用|储备：不限于钱，知识、词汇也能这样存着|提供资金：作动词，把这笔垫底的钱拨过去		
W	garden	noun	/ˈɡɑːdn/			盎格鲁-诺曼语 gardin ← 法兰克语 *gardō（围起来的地方），与英语 yard 同出一源；与库中 wardon 那一族是两个不同的词，只是同出日耳曼语	a piece of enclosed ground used for growing flowers or vegetables	一圈篱笆围出一块地，里面分成几畦，畦上蹲着人在拔草	花园/菜园	She grows tomatoes in her garden.|The children played in the back garden.	a patch of ground fenced off for growing – 围起来种东西的那块地	花园：围起来的这块地，种的是看的东西|菜园：同一块地，种的是吃的东西		
W	grammar	noun	/ˈɡræmə/	graphein	gram（graphein 刻写）→ 写下来的一行字 → 关于字怎么摆的学问	中古英语 gramere ← 古法语 gramaire ← 拉丁语 grammatica ← 希腊语 gramma（写下的一行字），gramma 由 graphein（刻写）派生；库中 glamor 与本词是同源双式	the rules by which words are put together in a language	写下的字句摆成有定数的次序，哪个词放哪儿都不能随意挪	语法/语法书	English grammar has many irregular verbs.|She bought a grammar to check the rules.	the rules for setting written words in order – 把写下的字句摆对位置的那套规矩	语法：字句摆放的那套规矩本身|语法书：把这套规矩收成一本，作可数名词		
W	flush	verb / adjective	/flʌʃ/			中古英语 flusshen（惊起、猛涌），更早词源不明；一说与 flash 同支，一说是 flowen（流）与 guschen（涌）的混合	to clean with a sudden flow of water, to turn red in the face, or set level with a surface	按下把手，一股水兜着盆底转一圈全带走；人一急，血也这么涌上脸	冲水/脸红/齐平的	Please flush the toilet after use.|Her cheeks flushed when he spoke.	a sudden rush that sweeps across a surface – 一股突然漫过表面的涌流	冲水：水猛地涌过去，把东西带走|脸红：血也这么一下涌上来，面上发热|齐平的：涌流漫平了那个面，两边一样高，不留台阶		
W	fracture	noun / verb	/ˈfræktʃə/			古法语 fracture ← 拉丁语 fractura（断口）← frangere（打断），过去分词 fractus	a break or crack, especially in a bone	片子上那根白骨中段有一道细黑线，两头对得上，但已经分开	骨折/裂缝/断裂	She suffered a fracture in her left arm.|Cold weather can fracture the pipes.	a clean break running through solid material – 硬东西上裂开的那道断口	骨折：这道断口出在骨头上|裂缝：出在别的硬物上，就是一道缝|断裂：作动词，硬物受力裂开的那个过程		
W	fragment	noun / verb	/ˈfræɡmənt/			拉丁语 fragmentum（打碎后剩下的一块）← frangere（打断）	a small piece broken off from something whole	杯子摔在地上，捡起来的是十几块带尖角的瓷，拼不回原来的圆	碎片/片段/破裂	He found a fragment of old pottery.|I heard only a fragment of their talk.	a piece broken off a whole – 从整体上碎下来的一块	碎片：实物碎下来的那一块|片段：话、乐曲、记忆碎下来的一段，同一个道理|破裂：作动词，整块变成许多小块		
W	frequent	adjective	/ˈfriːkwənt/			古法语 frequent ← 拉丁语 frequens（挤得满、来得密的）	happening or appearing often, at short intervals	这条路上的车一辆接一辆，前一辆还没出视线，后一辆就到了	频繁的/经常的	He is a frequent visitor to our office.|Frequent rain spoiled the whole holiday.	coming again at short intervals – 隔不了多久又来一趟	频繁的：两次之间的间隔短，密|经常的：同一件事，中文里更常这么说		
W	furniture	noun	/ˈfɜːnɪtʃə/			中古法语 fourniture（供给、置办）← fournir（供给）← 法兰克语 *frumjan（完成、提供）	the movable objects such as tables, chairs and beds put in a room	搬进来的床、桌、柜一件件落到位，屋里从空荡变成能住人	家具	They bought new furniture for the flat.|The furniture is made of solid oak.	what is supplied to fill out a room – 把一间屋添齐所需的那些东西			
W	gentle	adjective	/ˈdʒentl/	gen	gentil（gentilis 同一族的、出身好的）← gens 与 genus 同支 → 出身好 → 举止有教养 → 出手不带狠劲	中古英语 gentil ← 古法语 gentil（出身高贵的）← 拉丁语 gentilis（同族的）← gens（氏族），与 genus 同出印欧语 *ǵenh₁-	kind and careful in the way you act, and not strong or sudden in effect	他伸手把小鸟捧起来，指头一点没收紧，动作慢得像怕碰碎	温和的/轻柔的/和缓的	He has a gentle voice and slow speech.|A gentle slope led down to the river.	handling things without any harshness – 出手不带一点狠劲	温和的：人的脾气和态度不带火气|轻柔的：手上的力道很轻，怕伤着|和缓的：坡度、变化也这样，不陡不急		
W	geology	noun	/dʒiˈɒlədʒi/	logos	geo-（希腊语 ge 大地）+ -logy（logos 话里的条理）→ 把大地的构成讲出条理的那门学问	现代拉丁语 geologia，由希腊语 ge（大地）与 logos（话语、条理）合成	the study of the rocks and layers that make up the earth	敲开一块石头看里面的层，一层压一层，能读出这地方几万年的事	地质学/地质	He studies the geology of the Alps.|The geology here is mostly limestone.	a reasoned account of how the earth is made – 把大地的构成讲出条理	地质学：讲大地构成的那门学问|地质：某一处地下实际的构成情况，不指学科		
W	glorious	adjective	/ˈɡlɔːriəs/			古法语 glorious ← 拉丁语 gloriosus ← gloria（荣耀、盛名）	deserving great praise, or splendid to look at	他举着旗跑完最后一圈，看台上人全站起来，太阳正好落在他背后	光荣的/壮丽的/极好的	They won a glorious victory that day.|We had three glorious days by the sea.	lit up by praise or by beauty – 被称赞或美景照亮	光荣的：众人的称赞照在身上|壮丽的：这种光落在景物上，看着让人肃然|极好的：日子、天气也用它夸，口语里的加强说法		
