theoretical	中古英语 theorothycall ← 拉丁语 theoreticus ＋ -al ← 希腊语 theoretikos（善于观照的）← theoria（观照、思辨）	based on ideas and reasoning rather than on practice	理论上的/理论的	The plan works in theoretical terms only.|She does theoretical physics at the university.	worked out in reasoning, not yet tried in practice – 在推理上成立，尚未在实做中验过	理论上的：只在道理上讲得通|理论的：属于理论这一部分的，与实验相对		/ˌθɪəˈretɪkəl/	
theory	借自中古法语 théorie ← 晚期拉丁语 theoria ← 希腊语 theoria（观照、思辨）← theoros（观看者）	a set of ideas put forward to explain how something works	理论/学说/看法	His theory explains both results.|In theory it should work.	a reasoned account offered to explain what is seen – 为解释所见之事提出的一套讲法	理论：成体系的解释|学说：某人或某派提出的那一套主张|看法：日常里指个人的推测			
therapy	借自新拉丁语 therapia ← 希腊语 therapeia（服侍、医治）← therapeuo（服侍、施治）	treatment intended to relieve an illness or difficulty	治疗/疗法	She has been in therapy for a year.|Physical therapy restored his movement.	a course of treatment carried on over time – 持续一段时间的调治过程	治疗：为除病痛而进行的处置|疗法：具体采用的那一套治法			
thereafter	中古英语 therafter ← 古英语 þǣræfter（在那以后），即 there ＋ after	after that time or event	此后/其后	He moved to Leeds and lived there thereafter.|The rule applied to all cases thereafter.	from that point onward in time – 从那一点起往后	此后：从刚说的那时起往后|其后：偏书面，指紧随其后的时段			
thereby	中古英语 therby ← 古英语 þǣrbig（凭此），即 there ＋ by	by that means, with that as the cause	由此/因此	He signed the form, thereby accepting the terms.|Costs fell, thereby raising profit.	by way of the thing just mentioned – 靠刚说的那件事，从而如此	由此：凭着前面那一步|因此：把前面那一步当作原因			
thermal	源自法语 thermal ← 新拉丁语 *thermalis ← 希腊语 therme（热）← 原始印欧语 *gʷʰer-（使热）	relating to heat, or made to keep heat in	热的/保温的	The house has thermal insulation.|Thermal images show where heat escapes.	having to do with heat and how it moves – 与热及热的进出有关	热的：与温度或热量有关的|保温的：为把热留住而做的			
thick	中古英语 thikke ← 古英语 þicce（厚的、密的）← 原始日耳曼语 *þekuz（厚）← 原始印欧语 *tegus（厚）	having a large distance between two opposite surfaces, or densely packed	厚的/浓的/密的	He cut a thick slice of bread.|Thick fog closed the airport.	having much material between one side and the other – 两面之间的料多	厚的：两个表面隔得远|浓的：液体里所含的料多，流得慢|密的：单位地方里挤着的东西多			
thief	中古英语 thef ← 古英语 þēof ← 原始西日耳曼语 *þeub ← 原始日耳曼语 *þeubaz（贼）	a person who steals	小偷/窃贼	A thief took her purse on the bus.|Police caught the thief that night.	one who takes what belongs to others in secret – 暗中取走别人东西的那个人	小偷：日常说法，多指偷小物的人|窃贼：偏书面，语气更重			
thigh	中古英语 thigh ← 古英语 þēoh ← 原始西日耳曼语 *þeuh ← 原始日耳曼语 *þeuhą ← 原始印欧语 *tewk-	the part of the leg between the hip and the knee	大腿	He pulled a muscle in his thigh.|The bandage went round her thigh.	the upper part of the leg, between hip and knee – 腿的上半段，在髋与膝之间				
thin	中古英语 thinne ← 古英语 þynne ← 原始日耳曼语 *þunnuz（薄）← 原始印欧语 *tenh₂us（薄）← *ten-（拉伸）	having only a small distance between two opposite surfaces	薄的/瘦的/稀的	Cut the ham into thin slices.|He looked thin after the illness.	having little material between one side and the other – 两面之间的料少	薄的：两个表面隔得近|瘦的：人身上的肉少|稀的：液体里所含的料少，流得快			
thing	中古英语 thing ← 古英语 þing ← 原始西日耳曼语 *þing ← 原始日耳曼语 *þingą；本义是「集会」，后指会上所议之事，最终泛指一切事物	any object, fact, or matter that one does not name exactly	东西/事情/事物	Put your things in the cupboard.|The strange thing is that nobody noticed.	whatever one points at without naming it – 指得出来却不点名的那个	东西：具体的物件|事情：所发生或所议的那件事|事物：把物与事合起来说的通称			
think	中古英语 thinken ← 古英语 þenċan（思、想）← 原始日耳曼语 *þankijaną（想）← 原始印欧语 *teng-（感知、想）	to use the mind to consider something	想/认为/思考	Let me think about it overnight.|I think she is right.	turning something over in the mind – 把一件事在脑子里来回过	想：在脑中过念头|认为：想过之后持某个判断|思考：想得更久更深，带推理			
thirst	中古英语 thirst ← 古英语 þurst ← 原始日耳曼语 *þurstuz ← 原始印欧语 *ters-（干）	the feeling of needing to drink	渴/口渴/渴求	He drank deeply to quench his thirst.|She has a thirst for knowledge.	the dryness that makes one need to drink – 干得非喝不可的那种感觉	渴：身体缺水时的感觉|口渴：同义，点明是口中发干|渴求：把这份急需用到别的事上			
thirsty	中古英语 thirsty ← 古英语 þurstiġ，即 thirst ＋ 形容词后缀 -y	needing or wanting to drink	渴的/口渴的	I am thirsty after that walk.|Give the horses some water; they are thirsty.	in the state of needing to drink – 处在非喝不可的状态里	渴的：身体缺水而想喝|口渴的：同义，点明口中发干			
thirteen	中古英语 thirttene ← 古英语 þrēotīene ← 原始日耳曼语 *þritehun，由 *þrīz（三）＋ *tehun（十）复合而成	the number that comes after twelve	十三	She turns thirteen next month.|There were thirteen people at the table.	the count reached by adding three to ten – 十再加三得出的那个数			/ˌθɜːˈtiːn/	
thorn	中古英语 thorn ← 古英语 þorn ← 原始日耳曼语 *þurnaz ← 原始印欧语 *tr̥nós ← *(s)ter-（硬、挺）	a sharp point growing on the stem of a plant	刺/棘刺	A thorn pricked her finger.|The hedge is full of thorns.	a hard sharp point growing out of a stem – 从茎上长出来的硬尖	刺：植物身上那根尖|棘刺：连着带刺灌木一起说，语气更硬			
thorough	中古英语 thoruȝ ← 古英语 þuruh，是 þurh（穿过）的变体；形容词义由介词与副词转来	done completely, leaving nothing out	彻底的/周密的	They made a thorough search of the flat.|She is thorough in everything she does.	going right through, missing no part – 一路穿到底，没有落下的地方	彻底的：做到尽处，不留余地|周密的：各处都想到、都查到		/ˈθʌrə/	
thought	中古英语 thought ← 古英语 þōht ← 原始日耳曼语 *þanhtaz ← 原始印欧语 *teng-（感知、想）；与 think、thank 同支	an idea produced by thinking	想法/思索/看法	A sudden thought struck him.|She gave the matter much thought.	what the mind turns out after working on something – 脑子过完一件事后得出的那个	想法：脑中成形的那个念头|思索：想这个过程本身|看法：想过之后所持的判断			
thoughtful	中古英语 thoȝtful，即 thought ＋ 形容词后缀 -ful；thought 一支 ← 古英语 þōht（念、想）	showing care for what others need, or deep in thought	体贴的/考虑周到的/沉思的	It was thoughtful of you to call.|He sat thoughtful for a long while.	having given the matter or the person real thought – 对事或对人真正想过一遍	体贴的：先想到别人的需要|考虑周到的：各方面都想过，安排得妥|沉思的：正陷在思索里的样子			
thread	中古英语 thred ← 古英语 þrǣd ← 原始日耳曼语 *þrēduz ← 原始印欧语 *terh₁-（搓、拧）	a long thin strand of cotton or silk used in sewing	线/丝线/脉络	She threaded the needle with black thread.|I lost the thread of his argument.	a very thin strand spun long enough to sew with – 搓得细而长、够用来缝的一股	线：缝纫用的那种细股|丝线：以丝搓成的那种，更细更亮|脉络：话或文里那条贯穿始终的细股			
threat	中古英语 threte ← 古英语 þrēat（挤压、逼迫、威胁）← 原始日耳曼语 *þrautaz ← 原始印欧语 *trewd-（挤、压）	a statement or sign that harm may come	威胁/恐吓/隐患	He made a threat against the witness.|Rising seas are a threat to the town.	a sign that harm is being held over you – 有害之事悬在头上的那个信号	威胁：使人不得不顾忌的压力|恐吓：明说要加害的那种话|隐患：尚未发作但可能致害的因素			
threaten	中古英语 thretenen ← 古英语 þrēatnian（逼迫、催促），即 threat ＋ 起始体后缀 -en	to say or show that harm may come	威胁/恐吓/预示	He threatened to call the police.|Dark clouds threatened the harvest.	holding harm over something so it may yet fall – 把祸事悬在对方头上，随时可能落下	威胁：使对方顾忌而让步|恐吓：明白说出要加害|预示：自然现象显出将有祸事			
three	中古英语 thre ← 古英语 þrī ← 原始日耳曼语 *þrīz ← 原始印欧语 *tréyes（三）	the number that comes after two	三	Three cups stood on the table.|The meeting lasted three hours.	the count reached by adding one to two – 二再加一得出的那个数				
threshold	中古英语 threschwolde ← 古英语 þresċold（门下横木）← 原始日耳曼语 *þreskudlaz ← *þreskaną（原义踩、后作打谷）← 原始印欧语 *terh₁-（搓、转）	the strip of floor at the bottom of a doorway, or the point at which something starts	门槛/临界点/起点	He paused on the threshold.|Pain begins above this threshold.	the line you must cross to be inside – 跨过去才算进来的那道线	门槛：门下那道横木|临界点：过了它性质就变的那个数值|起点：一件事刚开始的那一处			
thrift	中古英语 thrift ← 古诺尔斯语 þrift（兴旺、富足），即 thrive ＋ 抽象名词后缀 -t	careful use of money so that little is wasted	节俭/俭省	Years of thrift paid for the house.|She was taught thrift as a child.	spending sparingly so that what one has lasts – 花得省，好让手里的经得住用	节俭：用钱有节制|俭省：把开销压到低处			
thrill	英语 thrill ← 古英语 þȳrlian（穿孔、刺穿）← þȳrel（孔）；「使激动」义由「像被刺穿一样一阵战栗」引申	to make someone feel a sudden strong excitement	使激动/兴奋感/震颤	The ride thrilled the children.|A thrill ran down his spine.	a jolt of feeling that runs right through you – 一阵感觉像被扎透一样穿过身体	使激动：让人一阵兴奋|兴奋感：那阵感觉本身|震颤：本义即刺穿后的那阵抖			noun / verb
thrive	中古英语 thryven ← 古诺尔斯语 þrífa（抓住、兴旺）← 原始日耳曼语 *þrībaną ← 原始印欧语 *terp-（满足、享有）	to grow strongly and do well	兴旺/茁壮成长/蓬勃发展	The business thrived after the move.|These plants thrive in poor soil.	growing well because conditions suit it – 条件对，于是长得旺	兴旺：事业或生意做得起来|茁壮成长：动植物长得结实|蓬勃发展：势头旺、扩展快			
throne	中古英语 trone ← 古法语 trone ← 拉丁语 thronus ← 希腊语 thronos（座椅）；取代了旧词 seld	the ceremonial seat of a king or queen	宝座/王位	The queen sat on the throne.|He came to the throne at nineteen.	the raised seat that marks who rules – 标明谁在位的那把高座	宝座：君主所坐的那把椅|王位：由那把椅代表的君主之位			
