W	stall	noun	/ˈstall/	stallum	stall（stallum 划定的位置）→ 安置牲畜的固定一格	英语词条 stall，现代词义按整体记；与库中 stallum 根同源，改为补挂	a thing or action related to stall	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	stall	The stall changed the situation.|Researchers discussed the stall carefully.	a clear scene connected with stall – 与该词相连的清晰场景	stall：从核心场景引出的常用义		
W	stamp	noun	/ˈstamp/			英语词条 stamp，现代词义按整体记	a thing or action related to stamp	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	stamp	The stamp changed the situation.|Researchers discussed the stamp carefully.	a clear scene connected with stamp – 与该词相连的清晰场景	stamp：从核心场景引出的常用义		
W	standard	noun	/ˈstandard/			英语词条 standard，现代词义按整体记	a thing or action related to standard	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	standard	The standard changed the situation.|Researchers discussed the standard carefully.	a clear scene connected with standard – 与该词相连的清晰场景	standard：从核心场景引出的常用义		
W	standpoint	noun	/ˈstandpoint/			英语词条 standpoint，现代词义按整体记	a thing or action related to standpoint	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	standpoint	The standpoint changed the situation.|Researchers discussed the standpoint carefully.	a clear scene connected with standpoint – 与该词相连的清晰场景	standpoint：从核心场景引出的常用义		
W	staple	noun	/ˈstaple/			英语词条 staple，现代词义按整体记	a thing or action related to staple	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	staple	The staple changed the situation.|Researchers discussed the staple carefully.	a clear scene connected with staple – 与该词相连的清晰场景	staple：从核心场景引出的常用义		
W	star	noun	/ˈstar/			英语词条 star，现代词义按整体记	a thing or action related to star	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	star	The star changed the situation.|Researchers discussed the star carefully.	a clear scene connected with star – 与该词相连的清晰场景	star：从核心场景引出的常用义		
W	stare	noun	/ˈstare/			英语词条 stare，现代词义按整体记	a thing or action related to stare	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	stare	The stare changed the situation.|Researchers discussed the stare carefully.	a clear scene connected with stare – 与该词相连的清晰场景	stare：从核心场景引出的常用义		
W	start	noun	/ˈstart/			英语词条 start，现代词义按整体记	a thing or action related to start	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	start	The start changed the situation.|Researchers discussed the start carefully.	a clear scene connected with start – 与该词相连的清晰场景	start：从核心场景引出的常用义		
W	startle	noun	/ˈstartle/			英语词条 startle，现代词义按整体记	a thing or action related to startle	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	startle	The startle changed the situation.|Researchers discussed the startle carefully.	a clear scene connected with startle – 与该词相连的清晰场景	startle：从核心场景引出的常用义		
W	starve	noun	/ˈstarve/			英语词条 starve，现代词义按整体记	a thing or action related to starve	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	starve	The starve changed the situation.|Researchers discussed the starve carefully.	a clear scene connected with starve – 与该词相连的清晰场景	starve：从核心场景引出的常用义		
W	steady	noun	/ˈsteady/			英语词条 steady，现代词义按整体记	a thing or action related to steady	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	steady	The steady changed the situation.|Researchers discussed the steady carefully.	a clear scene connected with steady – 与该词相连的清晰场景	steady：从核心场景引出的常用义		
W	steak	noun	/ˈsteak/			英语词条 steak，现代词义按整体记	a thing or action related to steak	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	steak	The steak changed the situation.|Researchers discussed the steak carefully.	a clear scene connected with steak – 与该词相连的清晰场景	steak：从核心场景引出的常用义		
W	steal	noun	/ˈsteal/			英语词条 steal，现代词义按整体记	a thing or action related to steal	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	steal	The steal changed the situation.|Researchers discussed the steal carefully.	a clear scene connected with steal – 与该词相连的清晰场景	steal：从核心场景引出的常用义		
W	steam	noun	/ˈsteam/			英语词条 steam，现代词义按整体记	a thing or action related to steam	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	steam	The steam changed the situation.|Researchers discussed the steam carefully.	a clear scene connected with steam – 与该词相连的清晰场景	steam：从核心场景引出的常用义		
W	steamer	noun	/ˈsteamer/			英语词条 steamer，现代词义按整体记	a thing or action related to steamer	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	steamer	The steamer changed the situation.|Researchers discussed the steamer carefully.	a clear scene connected with steamer – 与该词相连的清晰场景	steamer：从核心场景引出的常用义		
